"תאריך","שער","פתיחה","גבוה","נמוך","נפח","שינוי %"
"10.11.2025","23.15","23.03","23.16","22.95","254.40K","1.09%"
"07.11.2025","22.90","22.93","22.93","22.81","306.04K","0.22%"
"06.11.2025","22.85","22.84","22.88","22.73","555.98K","0.13%"
"05.11.2025","22.82","22.88","22.99","22.80","375.64K","-0.31%"
"04.11.2025","22.89","22.83","22.97","22.77","480.29K","-0.69%"
"03.11.2025","23.05","22.96","23.07","22.84","786.24K","0.74%"
"31.10.2025","22.88","22.83","22.90","22.76","610.96K","0.70%"
"30.10.2025","22.72","22.63","22.79","22.55","183.03K","0.04%"
"29.10.2025","22.71","22.72","22.85","22.68","191.01K","0.53%"
"28.10.2025","22.59","22.63","22.70","22.58","181.30K","-0.92%"
"27.10.2025","22.80","22.85","22.89","22.78","295.00K","-0.22%"
"24.10.2025","22.85","22.86","22.96","22.83","269.01K","0.04%"
"23.10.2025","22.84","22.79","22.96","22.79","472.37K","1.69%"
"22.10.2025","22.46","22.27","22.51","22.24","397.21K","1.58%"
"21.10.2025","22.11","22.17","22.21","21.98","534.23K","-1.03%"
"20.10.2025","22.34","22.16","22.34","22.16","185.16K","0.99%"
"17.10.2025","22.12","22.13","22.16","22.04","1.65M","-0.09%"
"16.10.2025","22.14","22.22","22.32","22.08","279.24K","-0.18%"
"15.10.2025","22.18","22.21","22.23","22.10","164.52K","0.36%"
"14.10.2025","22.10","22.06","22.20","22.02","205.31K","-1.12%"
"13.10.2025","22.35","22.30","22.38","22.23","282.74K","1.27%"
"10.10.2025","22.07","22.36","22.41","22.04","464.29K","-2.13%"
"09.10.2025","22.55","22.85","22.85","22.51","168.42K","-0.92%"
"08.10.2025","22.76","22.76","22.84","22.73","292.55K","0.13%"
"07.10.2025","22.73","22.62","22.73","22.57","241.77K","0.40%"
"06.10.2025","22.64","22.55","22.66","22.55","179.61K","1.03%"
"03.10.2025","22.41","22.41","22.49","22.39","356.98K","0.31%"
"02.10.2025","22.34","22.45","22.51","22.27","303.27K","-0.67%"
"01.10.2025","22.49","22.34","22.51","22.30","565.70K","-0.18%"
"30.09.2025","22.53","22.50","22.58","22.47","377.48K","-0.40%"
"29.09.2025","22.62","22.67","22.69","22.59","192.20K","-0.83%"
"26.09.2025","22.81","22.78","22.97","22.76","407.55K","0.04%"
"25.09.2025","22.80","22.65","22.80","22.58","1.42M","0.71%"
"24.09.2025","22.64","22.56","22.66","22.52","309.30K","0.67%"
"23.09.2025","22.49","22.34","22.50","22.34","318.51K","1.03%"
"22.09.2025","22.26","22.17","22.27","22.16","325.68K","0.00%"
"19.09.2025","22.26","22.35","22.41","22.25","205.20K","-0.80%"
"18.09.2025","22.44","22.55","22.58","22.39","190.66K","-0.44%"
"17.09.2025","22.54","22.71","22.74","22.50","448.12K","-1.05%"
"16.09.2025","22.78","22.69","22.79","22.67","195.78K","1.02%"
"15.09.2025","22.55","22.50","22.57","22.48","267.02K","0.89%"
"12.09.2025","22.35","22.39","22.46","22.33","300.71K","0.59%"
"11.09.2025","22.22","22.18","22.28","22.15","251.09K","-0.76%"
"10.09.2025","22.39","22.28","22.42","22.27","282.11K","0.67%"
"09.09.2025","22.24","22.32","22.38","22.23","253.00K","0.27%"
"08.09.2025","22.18","22.20","22.21","22.08","316.63K","0.68%"
"05.09.2025","22.03","22.14","22.14","21.97","419.07K","-0.81%"
"04.09.2025","22.21","22.20","22.25","22.14","414.41K","-0.72%"
"03.09.2025","22.37","22.50","22.52","22.34","820.08K","-0.89%"
"02.09.2025","22.57","22.41","22.59","22.34","630.08K","1.62%"
"29.08.2025","22.21","22.23","22.23","22.15","447.52K","0.14%"
"28.08.2025","22.18","22.06","22.25","21.99","146.97K","0.64%"
"27.08.2025","22.04","22.00","22.09","21.98","565.61K","0.09%"
"26.08.2025","22.02","22.05","22.12","21.99","236.28K","-0.77%"
"25.08.2025","22.19","22.13","22.26","22.11","162.39K","0.50%"
"22.08.2025","22.08","21.97","22.11","21.97","252.19K","0.41%"
"21.08.2025","21.99","21.86","22.02","21.83","546.00K","0.59%"
"20.08.2025","21.86","21.77","21.87","21.75","444.11K","1.11%"
"19.08.2025","21.62","21.70","21.71","21.59","379.66K","-0.78%"
"18.08.2025","21.79","21.65","21.85","21.61","658.69K","0.09%"
"15.08.2025","21.77","21.71","21.83","21.71","192.71K","-0.32%"
"14.08.2025","21.84","21.79","21.85","21.73","394.35K","0.41%"
"13.08.2025","21.75","21.81","21.82","21.62","527.12K","-0.14%"
"12.08.2025","21.78","21.82","21.83","21.76","201.06K","-0.41%"
"11.08.2025","21.87","21.84","21.91","21.79","220.77K","0.14%"
"08.08.2025","21.84","21.91","22.00","21.76","536.67K","0.00%"
"07.08.2025","21.84","21.89","21.96","21.83","332.84K","0.32%"
"06.08.2025","21.77","22.04","22.12","21.72","530.07K","-0.23%"
"05.08.2025","21.82","21.94","21.95","21.82","225.27K","-0.86%"
"04.08.2025","22.01","21.94","22.12","21.91","558.28K","-0.36%"
"01.08.2025","22.09","22.45","22.45","22.06","505.94K","-1.60%"
"31.07.2025","22.45","22.45","22.52","22.36","656.77K","-0.84%"
"30.07.2025","22.64","22.59","22.75","22.44","1.04M","-0.22%"
"29.07.2025","22.69","22.39","22.73","22.38","480.34K","1.29%"
"28.07.2025","22.40","22.36","22.40","22.27","373.27K","1.04%"
"25.07.2025","22.17","22.34","22.36","22.17","381.87K","-1.03%"
"24.07.2025","22.40","22.38","22.43","22.25","347.28K","0.09%"
"23.07.2025","22.38","22.37","22.41","22.31","438.21K","-0.27%"
"22.07.2025","22.44","22.38","22.47","22.34","334.02K","-0.18%"
"21.07.2025","22.48","22.47","22.55","22.41","500.57K","-0.22%"
"18.07.2025","22.53","22.72","22.81","22.51","762.51K","0.18%"
"17.07.2025","22.49","22.28","22.49","22.28","203.33K","0.81%"
"16.07.2025","22.31","22.19","22.34","22.11","314.02K","0.13%"
"15.07.2025","22.28","22.30","22.41","22.26","494.65K","-0.18%"
"14.07.2025","22.32","22.52","22.52","22.31","562.51K","-0.84%"
"11.07.2025","22.51","22.32","22.51","22.32","329.78K","1.31%"
"10.07.2025","22.22","22.17","22.24","22.14","347.47K","-0.31%"
"09.07.2025","22.29","22.24","22.34","22.20","577.28K","-0.18%"
"08.07.2025","22.33","22.26","22.43","22.23","557.17K","0.31%"
"07.07.2025","22.26","22.14","22.31","22.11","413.35K","-0.09%"
"03.07.2025","22.28","22.33","22.37","22.23","202.01K","-0.04%"
"02.07.2025","22.29","22.03","22.33","21.97","325.89K","1.64%"
"01.07.2025","21.93","21.84","21.94","21.77","585.93K","0.55%"
"30.06.2025","21.81","21.81","21.87","21.76","1.18M","0.05%"
"27.06.2025","21.80","21.87","21.91","21.73","873.20K","-0.50%"
"26.06.2025","21.91","21.86","22.02","21.83","1.29M","0.37%"
"25.06.2025","21.83","21.79","21.94","21.75","1.54M","-0.14%"
"24.06.2025","21.86","21.90","21.98","21.77","1.73M","-2.41%"
"23.06.2025","22.40","23.25","23.28","22.40","3.33M","-3.70%"
"20.06.2025","23.26","23.20","23.32","23.17","989.93K","0.52%"
"18.06.2025","23.14","23.19","23.26","22.92","1.79M","0.26%"
"17.06.2025","23.08","22.87","23.12","22.76","1.64M","2.12%"
"16.06.2025","22.60","22.60","22.67","22.24","2.23M","-0.22%"
"13.06.2025","22.65","22.47","22.77","22.45","1.62M","3.10%"
"12.06.2025","21.97","21.94","22.01","21.88","796.86K","0.00%"
"11.06.2025","21.97","21.75","22.03","21.75","829.39K","1.62%"
"10.06.2025","21.62","21.69","21.76","21.58","463.61K","-0.23%"
"09.06.2025","21.67","21.64","21.71","21.55","737.86K","0.09%"
"06.06.2025","21.65","21.49","21.67","21.49","1.12M","0.79%"
"05.06.2025","21.48","21.54","21.60","21.47","460.23K","0.47%"
"04.06.2025","21.38","21.50","21.52","21.27","871.51K","-0.37%"
"03.06.2025","21.46","21.32","21.49","21.28","566.71K","0.66%"
"02.06.2025","21.32","21.37","21.39","21.21","1.48M","2.11%"
