"תאריך","שער","פתיחה","גבוה","נמוך","נפח","שינוי %"
"17.11.2025","67.67","68.36","68.54","67.65","1.29M","-1.11%"
"14.11.2025","68.43","68.33","68.72","68.03","1.89M","-0.23%"
"13.11.2025","68.59","69.09","69.29","68.52","1.67M","-0.82%"
"12.11.2025","69.16","68.91","69.30","68.88","1.22M","0.55%"
"11.11.2025","68.78","68.23","68.85","68.22","1.41M","1.03%"
"10.11.2025","68.08","67.91","68.18","67.58","1.43M","0.47%"
"07.11.2025","67.76","67.49","67.78","67.18","1.77M","0.37%"
"06.11.2025","67.51","67.63","67.83","67.36","1.39M","-0.31%"
"05.11.2025","67.72","67.45","67.96","67.43","1.31M","0.27%"
"04.11.2025","67.54","67.36","67.68","67.25","1.90M","-0.15%"
"03.11.2025","67.64","68.02","68.06","67.26","1.85M","-0.66%"
"31.10.2025","68.09","67.99","68.29","67.74","2.16M","-0.23%"
"30.10.2025","68.25","68.12","68.75","68.12","2.02M","-0.07%"
"29.10.2025","68.30","68.67","68.78","68.04","2.10M","-0.78%"
"28.10.2025","68.84","69.19","69.20","68.82","1.48M","-0.48%"
"27.10.2025","69.17","68.96","69.20","68.84","1.38M","0.67%"
"24.10.2025","68.71","68.80","68.96","68.67","3.04M","0.42%"
"23.10.2025","68.42","68.31","68.53","68.18","1.83M","0.25%"
"22.10.2025","68.25","68.56","68.61","68.13","1.96M","-0.39%"
"21.10.2025","68.52","68.51","68.81","68.42","1.71M","0.04%"
"20.10.2025","68.49","68.15","68.56","68.12","1.18M","0.90%"
"17.10.2025","67.88","67.57","67.99","67.46","1.70M","0.53%"
"16.10.2025","67.52","68.29","68.31","67.33","1.98M","-0.94%"
"15.10.2025","68.16","68.34","68.74","67.70","3.11M","0.13%"
"14.10.2025","68.07","67.19","68.27","67.10","1.86M","0.70%"
"13.10.2025","67.60","67.40","67.79","67.32","1.27M","1.00%"
"10.10.2025","66.93","68.32","68.44","66.92","3.14M","-1.78%"
"09.10.2025","68.14","68.64","68.66","68.04","1.52M","-0.53%"
"08.10.2025","68.50","68.61","68.68","68.30","1.80M","0.04%"
"07.10.2025","68.47","68.66","68.71","68.31","1.10M","-0.15%"
"06.10.2025","68.57","68.69","68.77","68.42","1.38M","-0.01%"
