"תאריך","שער","פתיחה","גבוה","נמוך","נפח","שינוי %"
"17.11.2025","370.19","373.99","375.42","369.24","9.40M","-1.53%"
"14.11.2025","375.96","372.87","378.20","370.89","15.20M","-1.80%"
"13.11.2025","382.87","387.29","388.18","381.21","15.87M","-0.81%"
"12.11.2025","385.99","380.07","387.46","379.44","16.20M","1.61%"
"11.11.2025","379.87","379.98","380.40","376.87","10.75M","0.39%"
"10.11.2025","378.38","375.93","378.66","374.78","13.46M","2.73%"
"07.11.2025","368.31","367.94","370.42","366.42","11.06M","0.61%"
"06.11.2025","366.07","367.16","368.18","364.70","6.89M","-0.12%"
"05.11.2025","366.51","366.39","367.10","364.65","8.36M","1.16%"
"04.11.2025","362.32","363.48","365.74","361.39","11.54M","-1.75%"
"03.11.2025","368.78","368.91","370.84","367.54","7.25M","0.18%"
"31.10.2025","368.12","370.47","370.66","365.50","11.08M","-0.54%"
"30.10.2025","370.13","365.09","370.36","364.50","14.81M","1.96%"
"29.10.2025","363.00","369.65","370.08","361.36","18.89M","-0.38%"
"28.10.2025","364.38","361.81","365.30","360.12","19.26M","-0.72%"
"27.10.2025","367.01","371.13","371.59","365.34","23.66M","-2.78%"
"24.10.2025","377.52","378.51","380.77","376.81","13.26M","-0.34%"
"23.10.2025","378.79","381.46","382.25","378.65","13.70M","0.40%"
"22.10.2025","377.28","372.75","378.47","368.93","30.52M","0.01%"
"21.10.2025","377.24","386.54","388.89","375.65","54.10M","-6.43%"
"20.10.2025","403.15","397.45","403.30","394.20","34.52M","3.64%"
"17.10.2025","388.99","397.14","397.28","385.22","62.02M","-1.88%"
