"תאריך","שער","פתיחה","גבוה","נמוך","נפח","שינוי %"
"01.11.2025","96.59","96.43","96.94","96.13","128.81M","-0.27%"
"01.10.2025","96.85","96.56","97.77","96.11","183.23M","0.40%"
"01.09.2025","96.46","95.46","97.51","95.43","183.78M","0.32%"
"01.08.2025","96.15","95.36","96.23","95.05","153.58M","1.32%"
"01.07.2025","94.90","95.42","95.51","93.86","144.20M","-0.91%"
"01.06.2025","95.77","94.00","95.81","93.47","158.85M","1.27%"
"01.05.2025","94.57","95.88","95.89","93.03","196.51M","-1.56%"
"01.04.2025","96.07","95.27","97.51","92.79","341.93M","0.73%"
"01.03.2025","95.37","94.72","95.78","94.16","168.92M","0.05%"
"01.02.2025","95.32","92.99","95.36","92.08","116.34M","2.47%"
"01.01.2025","93.02","92.65","93.34","91.08","101.89M","0.62%"
"01.12.2024","92.45","94.61","95.42","91.93","116.89M","-2.88%"
"01.11.2024","95.19","94.36","95.20","92.90","167.71M","0.71%"
"01.10.2024","94.52","98.17","98.47","94.21","161.22M","-3.67%"
"01.09.2024","98.12","97.31","99.18","97.25","198.61M","1.08%"
"01.08.2024","97.07","96.00","98.58","95.98","152.33M","1.04%"
"01.07.2024","96.07","92.84","96.08","92.58","129.48M","2.58%"
"01.06.2024","93.65","92.65","94.69","92.65","110.01M","0.92%"
"01.05.2024","92.80","91.43","93.64","91.19","140.25M","1.50%"
"01.04.2024","91.43","93.99","93.99","91.02","184.01M","-3.41%"
"01.03.2024","94.66","93.85","95.39","93.45","148.41M","0.47%"
"01.02.2024","94.22","96.60","97.11","93.44","196.52M","-2.32%"
"01.01.2024","96.46","95.93","96.48","94.54","202.56M","0.07%"
"01.12.2023","96.39","93.14","97.04","93.11","248.12M","3.19%"
"01.11.2023","93.41","89.60","93.97","89.56","266.62M","4.26%"
"01.10.2023","89.59","90.89","91.60","88.86","295.38M","-2.18%"
"01.09.2023","91.59","94.57","94.58","90.85","159.64M","-3.39%"
"01.08.2023","94.80","95.04","95.54","92.85","168.72M","-0.98%"
"01.07.2023","95.74","96.32","97.19","94.36","132.17M","-0.89%"
"01.06.2023","96.60","98.11","98.38","96.18","138.62M","-1.49%"
"01.05.2023","98.06","99.11","100.80","96.39","194.18M","-1.67%"
"01.04.2023","99.73","98.81","100.76","97.98","150.34M","0.62%"
"01.03.2023","99.12","95.14","100.58","94.21","278.31M","3.51%"
"01.02.2023","95.76","99.20","100.21","95.11","189.96M","-3.48%"
"01.01.2023","99.21","96.91","100.06","96.34","103.40M","3.58%"
"01.12.2022","95.78","97.60","99.26","95.61","113.74M","-1.87%"
"01.11.2022","97.61","94.96","97.61","93.07","109.91M","3.39%"
"01.10.2022","94.41","96.72","97.69","92.48","133.15M","-1.65%"
"01.09.2022","95.99","100.09","100.79","94.51","132.42M","-4.90%"
"01.08.2022","100.94","105.29","105.75","100.77","142.58M","-4.02%"
"01.07.2022","105.17","103.12","105.57","101.37","204.03M","2.81%"
"01.06.2022","102.30","103.26","103.37","97.99","126.70M","-0.99%"
"01.05.2022","103.32","102.15","104.59","100.99","144.94M","0.50%"
"01.04.2022","102.81","106.31","107.01","102.27","158.74M","-4.34%"
"01.03.2022","107.47","112.60","113.49","105.97","253.56M","-4.15%"
"01.02.2022","112.12","112.50","112.81","109.92","204.17M","-0.40%"
"01.01.2022","112.57","114.37","114.41","111.69","243.87M","-2.11%"
"01.12.2021","115.00","115.30","116.64","114.67","210.79M","-0.69%"
"01.11.2021","115.80","114.22","116.14","113.50","246.32M","1.02%"
"01.10.2021","114.63","115.36","115.67","113.63","187.00M","-0.51%"
"01.09.2021","115.22","117.25","117.52","114.72","156.34M","-1.66%"
"01.08.2021","117.17","117.82","118.63","116.43","160.91M","-0.46%"
"01.07.2021","117.71","115.38","118.52","115.17","160.68M","1.92%"
"01.06.2021","115.49","114.19","115.79","114.05","133.96M","0.95%"
"01.05.2021","114.40","113.96","114.95","113.47","152.87M","0.36%"
"01.04.2021","113.99","113.21","114.76","112.80","148.73M","0.94%"
"01.03.2021","112.93","115.47","115.78","112.78","180.77M","-2.44%"
"01.02.2021","115.76","118.57","118.77","114.10","153.81M","-2.43%"
"01.01.2021","118.64","119.68","120.06","117.57","116.94M","-1.09%"
"01.12.2020","119.95","119.97","120.27","119.20","88.70M","-0.37%"
"01.11.2020","120.39","120.34","121.06","119.19","135.10M","0.27%"
"01.10.2020","120.06","121.53","121.93","120.06","124.04M","-1.44%"
"01.09.2020","121.82","121.40","122.39","121.30","82.59M","0.26%"
"01.08.2020","121.51","122.52","123.09","121.18","74.47M","-1.05%"
"01.07.2020","122.80","121.53","122.89","121.29","86.04M","0.76%"
"01.06.2020","121.87","121.62","122.19","119.35","112.12M","-0.06%"
"01.05.2020","121.94","121.79","122.23","120.85","64.70M","0.22%"
"01.04.2020","121.67","122.13","122.69","120.27","79.84M","0.16%"
"01.03.2020","121.48","117.55","123.41","114.40","212.86M","3.60%"
"01.02.2020","117.26","113.61","117.45","112.56","111.61M","2.82%"
"01.01.2020","114.04","110.69","114.12","110.63","72.90M","3.47%"
"01.12.2019","110.22","110.87","112.17","110.04","63.40M","-1.21%"
"01.11.2019","111.57","112.18","112.42","109.97","77.91M","-0.84%"
"01.10.2019","112.51","111.85","113.89","111.05","96.18M","0.04%"
"01.09.2019","112.47","113.88","114.44","110.50","149.69M","-1.35%"
"01.08.2019","114.01","109.84","114.39","109.79","133.43M","3.77%"
"01.07.2019","109.87","109.82","110.40","108.83","71.50M","-0.14%"
"01.06.2019","110.02","108.88","110.28","108.57","101.56M","1.02%"
"01.05.2019","108.91","105.70","108.95","105.27","90.09M","2.84%"
"01.04.2019","105.90","106.10","106.13","105.00","76.41M","-0.72%"
"01.03.2019","106.67","103.74","107.08","103.57","97.84M","2.46%"
"01.02.2019","104.11","104.47","104.79","103.81","93.78M","-0.73%"
"01.01.2019","104.88","104.31","105.32","103.35","133.80M","0.65%"
"01.12.2018","104.20","101.44","104.66","101.40","118.40M","2.38%"
"01.11.2018","101.78","100.36","101.82","99.75","69.87M","1.11%"
"01.10.2018","100.66","100.83","101.30","99.60","92.79M","-0.50%"
"01.09.2018","101.17","102.26","102.45","100.68","60.06M","-1.40%"
"01.08.2018","102.61","101.26","102.96","101.19","62.76M","0.82%"
"01.07.2018","101.78","102.42","102.71","101.56","57.11M","-0.71%"
"01.06.2018","102.51","101.85","102.73","101.16","85.55M","0.00%"
"01.05.2018","102.51","101.50","103.20","100.33","85.04M","0.80%"
"01.04.2018","101.70","102.94","103.34","101.06","54.94M","-1.44%"
"01.03.2018","103.19","102.16","103.31","101.68","58.32M","1.00%"
"01.02.2018","102.17","103.10","103.31","101.46","78.69M","-1.09%"
"01.01.2018","103.30","105.44","105.47","103.02","64.83M","-2.15%"
"01.12.2017","105.57","105.70","106.34","104.87","42.02M","-0.12%"
"01.11.2017","105.70","105.92","106.63","105.59","32.38M","-0.43%"
"01.10.2017","106.16","106.42","106.92","105.47","38.50M","-0.34%"
"01.09.2017","106.52","107.96","108.81","106.46","43.74M","-1.59%"
"01.08.2017","108.24","106.52","108.43","106.47","29.62M","1.30%"
"01.07.2017","106.85","106.45","107.27","105.72","44.80M","0.23%"
"01.06.2017","106.61","106.94","108.17","106.54","41.63M","-0.66%"
"01.05.2017","107.32","106.32","107.40","105.41","43.65M","0.68%"
"01.04.2017","106.60","105.56","107.47","105.53","42.21M","0.96%"
"01.03.2017","105.59","104.71","105.96","103.69","44.82M","-0.06%"
"01.02.2017","105.65","104.56","106.16","104.32","41.34M","0.57%"
"01.01.2017","105.05","104.35","106.03","104.18","38.68M","0.22%"
"01.12.2016","104.82","104.62","105.58","103.43","39.06M","-0.42%"
"01.11.2016","105.26","109.59","110.56","105.00","54.71M","-4.36%"
"01.10.2016","110.06","111.70","111.73","109.72","37.03M","-1.63%"
"01.09.2016","111.88","111.33","112.33","110.44","25.36M","0.10%"
"01.08.2016","111.77","112.56","112.80","111.37","36.81M","-1.15%"
"01.07.2016","113.07","113.30","113.91","111.66","50.85M","0.10%"
"01.06.2016","112.95","109.85","113.24","109.48","55.45M","2.94%"
"01.05.2016","109.73","109.66","110.92","109.32","35.20M","-0.25%"
"01.04.2016","110.00","110.18","111.09","109.00","39.26M","-0.31%"
"01.03.2016","110.34","110.54","110.96","108.20","52.82M","-0.21%"
"01.02.2016","110.57","108.81","112.01","108.56","68.66M","1.34%"
"01.01.2016","109.11","106.09","109.18","105.83","62.75M","3.33%"
"01.12.2015","105.59","106.24","107.09","105.17","45.02M","-0.76%"
"01.11.2015","106.40","106.63","106.70","105.02","38.15M","-0.58%"
"01.10.2015","107.02","107.90","108.97","106.79","57.20M","-0.79%"
"01.09.2015","107.87","106.49","107.93","105.70","38.00M","1.42%"
"01.08.2015","106.36","106.30","108.76","105.49","40.06M","-0.08%"
"01.07.2015","106.44","104.40","106.52","104.15","37.67M","1.36%"
"01.06.2015","105.01","106.73","106.81","103.76","31.65M","-1.79%"
"01.05.2015","106.92","107.05","107.19","105.40","27.92M","-0.57%"
"01.04.2015","107.53","108.55","109.11","106.96","22.94M","-0.79%"
"01.03.2015","108.39","107.38","108.84","105.44","38.34M","0.70%"
"01.02.2015","107.64","109.95","110.40","106.25","45.44M","-2.63%"
"01.01.2015","110.55","106.09","110.59","106.06","33.72M","4.30%"
"01.12.2014","105.99","106.31","107.28","104.93","60.67M","-0.19%"
"01.11.2014","106.19","104.70","106.20","104.45","33.16M","1.11%"
"01.10.2014","105.02","103.84","108.88","103.61","43.64M","1.35%"
"01.09.2014","103.62","104.30","104.31","102.45","52.92M","-1.22%"
"01.08.2014","104.90","103.27","105.23","103.05","35.69M","1.69%"
"01.07.2014","103.16","103.14","104.05","102.20","50.97M","-0.41%"
"01.06.2014","103.58","103.53","103.73","102.36","55.58M","-0.38%"
"01.05.2014","103.98","102.18","104.53","102.00","72.13M","1.63%"
"01.04.2014","102.31","101.40","102.74","100.86","18.64M","0.57%"
