"תאריך","שער","פתיחה","גבוה","נמוך","נפח","שינוי %"
"17.11.2025","191.91","193.67","194.60","191.54","949.82K","-1.27%"
"14.11.2025","194.38","192.95","195.51","192.81","2.06M","-0.27%"
"13.11.2025","194.91","196.35","196.76","194.48","1.97M","-1.07%"
"12.11.2025","197.01","197.20","197.29","196.29","1.10M","0.25%"
"11.11.2025","196.52","195.32","196.72","195.32","1.08M","0.31%"
"10.11.2025","195.91","194.79","196.12","194.30","1.17M","1.40%"
"07.11.2025","193.21","192.60","193.25","190.90","1.77M","-0.03%"
"06.11.2025","193.27","195.04","195.04","192.82","1.32M","-1.03%"
"05.11.2025","195.29","194.27","196.34","194.25","1.21M","0.40%"
"04.11.2025","194.52","194.29","195.45","194.22","1.21M","-0.77%"
"03.11.2025","196.02","197.01","197.08","195.07","1.33M","-0.14%"
"31.10.2025","196.30","197.32","197.32","195.61","2.34M","-0.20%"
"30.10.2025","196.70","197.20","198.22","196.70","1.45M","-0.82%"
"29.10.2025","198.32","199.53","199.96","197.63","4.19M","-0.41%"
"28.10.2025","199.13","199.59","199.67","198.85","1.53M","-0.03%"
"27.10.2025","199.18","198.51","199.27","198.19","1.15M","1.18%"
"24.10.2025","196.86","197.12","197.48","196.80","822.79K","0.39%"
"23.10.2025","196.09","194.94","196.50","194.94","1.50M","0.64%"
"22.10.2025","194.85","195.81","196.12","193.98","1.75M","-0.65%"
"21.10.2025","196.13","195.36","196.54","195.26","1.04M","0.27%"
"20.10.2025","195.61","194.27","195.97","194.27","765.38K","1.11%"
"17.10.2025","193.46","191.66","193.82","191.66","1.31M","0.61%"
"16.10.2025","192.29","194.14","194.16","191.23","1.57M","-0.73%"
"15.10.2025","193.71","194.33","195.25","192.17","968.47K","0.35%"
"14.10.2025","193.03","191.10","193.85","190.74","1.10M","0.08%"
"13.10.2025","192.88","192.79","193.33","192.07","873.98K","0.98%"
"10.10.2025","191.01","196.12","196.48","190.90","1.42M","-2.43%"
"09.10.2025","195.77","196.89","197.01","195.38","1.04M","-0.47%"
"08.10.2025","196.69","196.11","196.80","195.93","1.01M","0.45%"
"07.10.2025","195.81","197.02","197.28","195.50","1.22M","-0.51%"
"06.10.2025","196.81","196.91","197.37","196.38","1.48M","0.17%"
"03.10.2025","196.47","196.35","197.50","196.35","1.47M","0.06%"
"02.10.2025","196.36","196.16","196.46","195.39","2.02M","0.27%"
"01.10.2025","195.84","193.83","196.02","193.72","2.33M","0.69%"
"30.09.2025","194.50","193.05","194.62","192.97","1.08M","0.59%"
"29.09.2025","193.36","193.30","193.75","192.93","1.34M","0.39%"
"26.09.2025","192.60","191.57","192.68","191.32","1.04M","0.68%"
"25.09.2025","191.30","191.30","191.66","190.37","1.54M","-0.47%"
"24.09.2025","192.20","192.93","192.95","191.90","1.16M","-0.35%"
"23.09.2025","192.87","193.53","194.00","192.53","1.56M","-0.47%"
"22.09.2025","193.78","192.36","193.85","192.32","1.55M","0.56%"
"19.09.2025","192.71","192.73","192.91","191.71","1.50M","0.36%"
"18.09.2025","192.02","192.34","193.16","191.85","4.10M","0.38%"
"17.09.2025","191.29","190.93","192.16","190.07","3.81M","0.26%"
"16.09.2025","190.79","190.88","191.13","190.32","13.65M","-0.34%"
"15.09.2025","191.44","191.16","191.50","190.97","948.90K","0.33%"
"12.09.2025","190.81","191.45","191.45","190.73","1.14M","-0.40%"
"11.09.2025","191.57","190.05","191.76","190.04","1.08M","1.06%"
"10.09.2025","189.57","190.46","190.46","189.10","1.37M","-0.23%"
"09.09.2025","190.00","189.74","190.12","189.15","957.32K","0.15%"
"08.09.2025","189.71","189.76","189.95","189.29","1.09M","0.26%"
"05.09.2025","189.21","190.12","190.64","188.33","1.32M","-0.59%"
"04.09.2025","190.33","188.72","190.35","188.60","858.87K","0.88%"
"03.09.2025","188.67","188.19","188.71","187.82","887.38K","0.57%"
"02.09.2025","187.61","186.74","187.70","186.19","992.89K","-0.71%"
"29.08.2025","188.95","189.22","189.46","188.50","675.38K","-0.39%"
"28.08.2025","189.69","189.62","189.84","188.84","659.61K","0.18%"
"27.08.2025","189.35","188.87","189.56","188.87","633.56K","0.15%"
"26.08.2025","189.06","188.47","189.14","188.33","665.12K","0.34%"
"25.08.2025","188.41","188.95","189.23","188.41","758.89K","-0.50%"
"22.08.2025","189.37","187.10","189.75","187.10","712.28K","1.50%"
"21.08.2025","186.56","186.44","187.16","185.96","823.25K","-0.32%"
"20.08.2025","187.15","187.58","187.96","186.14","3.37M","-0.21%"
"19.08.2025","187.55","188.22","188.66","187.27","1.21M","-0.29%"
"18.08.2025","188.10","187.98","188.51","187.91","624.03K","-0.01%"
"15.08.2025","188.11","188.64","188.88","187.91","716.20K","-0.27%"
"14.08.2025","188.61","187.85","188.81","187.72","932.73K","-0.05%"
"13.08.2025","188.70","187.78","188.74","187.78","704.03K","0.79%"
"12.08.2025","187.23","185.92","187.30","185.58","854.16K","1.04%"
"11.08.2025","185.30","185.60","186.11","184.96","864.21K","-0.19%"
"08.08.2025","185.65","184.60","185.77","184.60","966.12K","0.83%"
"07.08.2025","184.12","185.80","185.82","183.28","1.31M","-0.69%"
"06.08.2025","185.39","184.36","185.63","184.23","1.20M","0.82%"
"05.08.2025","183.88","185.05","185.16","183.80","1.09M","-0.85%"
"04.08.2025","185.45","183.29","185.50","183.29","1.09M","1.71%"
"01.08.2025","182.33","183.08","183.34","181.65","1.47M","-0.97%"
"31.07.2025","184.12","186.20","186.57","183.82","1.80M","-0.63%"
"30.07.2025","185.28","186.16","186.33","184.48","1.60M","-0.40%"
"29.07.2025","186.03","186.74","186.85","185.87","991.23K","-0.40%"
"28.07.2025","186.78","187.11","187.38","186.43","909.10K","-0.06%"
"25.07.2025","186.89","186.40","187.04","186.31","890.03K","0.40%"
"24.07.2025","186.15","186.26","186.63","185.95","1.45M","-0.05%"
"23.07.2025","186.25","185.60","186.25","185.04","998.45K","0.77%"
"22.07.2025","184.83","184.64","185.02","184.19","1.58M","0.22%"
"21.07.2025","184.42","184.31","185.21","184.24","884.93K","0.21%"
"18.07.2025","184.03","184.86","184.86","183.70","2.24M","-0.24%"
"17.07.2025","184.48","183.43","184.68","183.30","1.65M","0.60%"
"16.07.2025","183.38","182.97","183.56","181.55","2.61M","0.42%"
"15.07.2025","182.62","184.72","184.72","182.60","1.41M","-0.70%"
"14.07.2025","183.90","183.61","184.08","183.38","790.23K","0.02%"
"11.07.2025","183.86","184.12","184.22","183.62","1.17M","-0.58%"
"10.07.2025","184.93","184.88","185.47","184.43","686.06K","-0.01%"
"09.07.2025","184.94","184.20","185.04","183.89","943.06K","0.61%"
"08.07.2025","183.81","183.77","184.28","183.37","1.20M","0.11%"
"07.07.2025","183.60","184.47","184.72","182.74","1.38M","-0.74%"
"03.07.2025","184.97","184.23","185.26","184.23","615.42K","0.56%"
"02.07.2025","183.93","183.13","183.96","183.06","1.42M","0.28%"
"01.07.2025","183.43","182.46","183.87","182.43","1.45M","0.33%"
"30.06.2025","182.82","182.24","183.13","181.77","1.10M","0.68%"
"27.06.2025","181.59","180.88","182.30","180.66","1.13M","0.68%"
"26.06.2025","180.37","179.80","180.50","179.28","975.34K","0.56%"
"25.06.2025","179.37","179.86","179.92","179.01","1.03M","-0.13%"
"24.06.2025","179.61","178.84","179.84","178.46","974.50K","1.13%"
"23.06.2025","177.60","175.66","177.69","175.21","978.50K","1.12%"
"20.06.2025","175.64","177.17","177.20","175.20","1.10M","-0.53%"
"18.06.2025","176.58","178.15","178.41","176.33","1.34M","-0.68%"
"17.06.2025","177.79","178.79","179.22","177.61","901.41K","-0.96%"
"16.06.2025","179.51","179.00","180.24","178.92","923.01K","0.69%"
"13.06.2025","178.28","179.32","179.98","177.83","1.25M","-1.61%"
"12.06.2025","181.19","180.21","181.19","180.12","932.28K","0.34%"
