"תאריך","שער","פתיחה","גבוה","נמוך","נפח","שינוי %"
"01.11.2025","82.83","82.71","82.89","82.68","48.24M","-0.18%"
"01.10.2025","82.98","82.81","83.14","82.77","99.42M","0.02%"
"01.09.2025","82.96","82.67","83.09","82.66","71.48M","-0.02%"
"01.08.2025","82.98","82.55","83.00","82.55","79.20M","0.56%"
"01.07.2025","82.52","82.56","82.64","82.37","73.28M","-0.41%"
"01.06.2025","82.86","82.33","82.86","82.21","63.58M","0.25%"
"01.05.2025","82.65","82.89","82.90","82.26","78.51M","-0.57%"
"01.04.2025","83.12","82.46","83.12","82.31","145.53M","0.47%"
"01.03.2025","82.73","82.30","82.77","82.29","80.30M","0.13%"
"01.02.2025","82.62","81.99","82.62","81.87","61.02M","0.40%"
"01.01.2025","82.29","82.00","82.32","81.81","64.99M","0.38%"
"01.12.2024","81.98","82.01","82.27","81.67","85.71M","-0.41%"
"01.11.2024","82.32","82.18","82.33","81.90","76.55M","-0.05%"
"01.10.2024","82.36","82.93","83.01","82.29","84.10M","-0.95%"
"01.09.2024","83.15","82.57","83.30","82.57","94.79M","0.42%"
"01.08.2024","82.80","82.10","82.91","82.09","102.49M","0.56%"
"01.07.2024","82.34","81.32","82.34","81.29","71.94M","0.85%"
"01.06.2024","81.65","81.21","81.75","81.21","52.81M","0.22%"
"01.05.2024","81.47","80.95","81.53","80.91","68.46M","0.39%"
"01.04.2024","81.15","81.48","81.53","81.05","88.04M","-0.77%"
"01.03.2024","81.78","81.54","81.86","81.47","65.72M","0.05%"
"01.02.2024","81.74","82.18","82.26","81.55","113.18M","-0.68%"
"01.01.2024","82.30","81.94","82.39","81.84","109.41M","0.32%"
"01.12.2023","82.04","81.42","82.07","81.41","113.85M","0.48%"
"01.11.2023","81.65","80.80","81.74","80.80","125.82M","0.77%"
"01.10.2023","81.03","80.69","81.10","80.62","109.45M","0.07%"
"01.09.2023","80.97","81.13","81.13","80.77","89.48M","-0.33%"
