"תאריך","שער","פתיחה","גבוה","נמוך","נפח","שינוי %"
"01.11.2025","72.03","70.37","72.57","69.63","41.42M","2.00%"
"01.10.2025","70.62","73.33","73.45","70.15","68.62M","-3.89%"
"01.09.2025","73.48","73.34","73.83","71.83","46.83M","-0.03%"
"01.08.2025","73.50","72.73","74.97","72.02","64.90M","1.38%"
"01.07.2025","72.50","72.82","73.83","71.82","50.11M","-0.44%"
"01.06.2025","72.82","73.18","73.50","71.71","36.83M","-0.88%"
"01.05.2025","73.47","72.50","74.00","71.21","49.42M","0.88%"
"01.04.2025","72.83","74.58","75.21","67.13","94.95M","-2.53%"
"01.03.2025","74.72","74.66","75.43","71.82","46.42M","0.27%"
"01.02.2025","74.52","70.82","74.60","70.52","26.77M","4.46%"
"01.01.2025","71.34","70.31","72.18","68.17","30.92M","1.91%"
"01.12.2024","70.00","74.80","74.82","69.42","34.15M","-6.48%"
"01.11.2024","74.85","71.26","75.14","70.49","35.86M","5.45%"
"01.10.2024","70.98","71.73","73.32","70.58","32.67M","-1.05%"
"01.09.2024","71.73","70.94","71.93","69.43","42.44M","0.89%"
"01.08.2024","71.10","67.96","71.19","66.56","48.01M","5.07%"
"01.07.2024","67.67","65.18","68.02","64.48","26.52M","4.19%"
"01.06.2024","64.95","65.14","66.46","64.45","26.41M","-0.44%"
"01.05.2024","65.24","63.61","66.13","63.38","34.56M","2.42%"
"01.04.2024","63.70","65.85","65.86","62.53","45.81M","-3.29%"
"01.03.2024","65.87","63.91","65.99","63.61","46.63M","2.91%"
"01.02.2024","64.01","62.95","64.63","62.37","50.05M","1.41%"
"01.01.2024","63.12","62.42","63.83","62.40","39.24M","0.73%"
"01.12.2023","62.66","61.31","63.50","61.25","35.51M","2.10%"
"01.11.2023","61.37","58.49","61.40","58.27","43.46M","5.12%"
"01.10.2023","58.38","58.65","59.57","57.17","54.91M","-0.70%"
"01.09.2023","58.79","61.56","61.78","58.62","32.90M","-4.00%"
"01.08.2023","61.24","63.18","63.49","60.63","40.37M","-3.21%"
"01.07.2023","63.27","62.60","64.28","62.10","41.08M","0.73%"
"01.06.2023","62.81","60.59","63.09","60.19","51.69M","3.85%"
"01.05.2023","60.48","63.95","64.52","60.01","50.62M","-5.41%"
"01.04.2023","63.94","62.31","64.21","62.19","52.78M","2.47%"
"01.03.2023","62.40","61.29","62.42","59.24","90.17M","1.35%"
"01.02.2023","61.57","63.53","64.24","61.54","43.70M","-3.53%"
"01.01.2023","63.82","64.00","65.29","62.15","38.32M","-0.13%"
"01.12.2022","63.90","65.47","66.32","62.97","37.44M","-1.89%"
"01.11.2022","65.13","62.04","65.17","60.20","41.93M","5.49%"
"01.10.2022","61.74","58.45","62.07","55.99","53.55M","6.76%"
"01.09.2022","57.83","62.98","65.49","57.76","78.21M","-8.50%"
"01.08.2022","63.20","64.22","67.24","63.18","65.24M","-2.03%"
"01.07.2022","64.51","61.97","64.61","60.57","65.44M","4.05%"
"01.06.2022","62.00","65.05","65.05","58.16","70.23M","-4.45%"
"01.05.2022","64.89","65.55","66.33","61.79","187.01M","-0.70%"
"01.04.2022","65.35","67.23","69.82","65.26","142.15M","-2.59%"
"01.03.2022","67.09","63.54","67.77","62.85","124.88M","5.26%"
"01.02.2022","63.74","65.33","65.86","61.12","115.64M","-2.46%"
"01.01.2022","65.35","68.57","68.57","63.12","179.76M","-4.78%"
"01.12.2021","68.63","63.16","68.86","62.45","105.17M","9.55%"
"01.11.2021","62.65","63.72","65.00","62.60","65.43M","-1.49%"
"01.10.2021","63.60","61.08","64.08","60.54","78.60M","4.54%"
"01.09.2021","60.84","64.16","64.70","60.83","71.62M","-5.09%"
"01.08.2021","64.10","63.27","64.68","62.88","40.91M","1.65%"
"01.07.2021","63.06","61.00","63.40","60.98","50.23M","3.53%"
"01.06.2021","60.91","61.25","61.58","59.94","52.33M","-0.21%"
"01.05.2021","61.04","60.62","62.40","60.04","74.68M","0.99%"
"01.04.2021","60.44","58.14","60.73","57.82","52.83M","3.94%"
"01.03.2021","58.15","54.79","58.81","53.62","122.67M","6.87%"
"01.02.2021","54.41","55.38","56.97","54.41","60.80M","-1.31%"
"01.01.2021","55.13","56.30","57.05","54.94","66.46M","-1.96%"
"01.12.2020","56.23","55.45","56.34","54.83","52.22M","1.90%"
"01.11.2020","55.18","52.53","56.31","52.35","68.63M","6.05%"
"01.10.2020","52.03","53.84","56.01","51.51","60.38M","-3.00%"
"01.09.2020","53.64","54.61","55.72","51.80","73.10M","-1.90%"
"01.08.2020","54.68","53.36","54.80","53.20","48.16M","2.65%"
"01.07.2020","53.27","49.73","53.35","49.71","52.37M","7.23%"
"01.06.2020","49.68","49.89","51.65","47.81","80.67M","-0.60%"
"01.05.2020","49.98","49.22","50.08","45.83","89.59M","0.08%"
"01.04.2020","49.94","45.06","52.17","44.04","111.65M","6.44%"
"01.03.2020","46.92","54.37","58.74","38.58","228.63M","-13.37%"
"01.02.2020","54.16","60.19","62.09","52.96","110.71M","-9.69%"
"01.01.2020","59.97","58.50","60.61","57.62","68.16M","2.79%"
"01.12.2019","58.34","57.35","58.43","56.75","67.09M","1.53%"
"01.11.2019","57.46","57.73","57.79","56.56","74.95M","-0.19%"
"01.10.2019","57.57","57.90","57.98","56.38","88.52M","-0.57%"
"01.09.2019","57.90","56.57","58.14","56.31","75.54M","2.04%"
"01.08.2019","56.74","55.56","56.95","53.96","104.84M","2.16%"
"01.07.2019","55.54","55.34","56.58","54.93","68.63M","0.95%"
"01.06.2019","55.02","53.25","56.16","53.12","66.20M","3.52%"
"01.05.2019","53.15","53.65","54.14","52.30","59.60M","-1.15%"
"01.04.2019","53.77","52.81","53.82","52.16","51.51M","2.15%"
"01.03.2019","52.64","51.76","52.69","50.90","55.55M","2.09%"
"01.02.2019","51.56","49.73","51.78","49.34","46.36M","3.83%"
"01.01.2019","49.66","46.18","49.74","45.40","63.92M","6.45%"
"01.12.2018","46.65","50.54","50.61","44.16","111.92M","-6.98%"
"01.11.2018","50.15","48.04","50.26","47.52","71.86M","4.50%"
"01.10.2018","47.99","49.60","49.76","46.94","101.38M","-3.09%"
"01.09.2018","49.52","49.71","50.42","49.03","31.67M","-0.52%"
