"תאריך","שער","פתיחה","גבוה","נמוך","נפח","שינוי %"
"01.11.2025","89.10","89.63","90.32","88.87","328.10M","-1.31%"
"01.10.2025","90.29","89.45","92.18","88.65","732.52M","1.03%"
"01.09.2025","89.37","85.63","91.04","85.48","823.69M","3.20%"
"01.08.2025","86.60","87.56","88.45","85.99","712.88M","-0.37%"
"01.07.2025","86.92","88.13","88.31","84.19","784.07M","-1.51%"
"01.06.2025","88.25","85.29","88.43","84.79","784.30M","2.28%"
"01.05.2025","86.28","89.26","89.28","83.29","841.45M","-3.57%"
"01.04.2025","89.47","91.25","94.09","85.00","1.11B","-1.71%"
"01.03.2025","91.03","91.41","92.79","88.63","732.06M","-1.51%"
"01.02.2025","92.43","88.57","92.47","86.86","705.21M","5.32%"
"01.01.2025","87.76","87.80","88.71","84.89","675.34M","0.49%"
"01.12.2024","87.33","93.27","94.85","86.98","782.42M","-7.07%"
"01.11.2024","93.97","92.26","93.99","89.42","947.99M","1.64%"
"01.10.2024","92.45","98.80","99.33","90.98","897.06M","-5.76%"
"01.09.2024","98.10","97.56","101.64","97.42","748.20M","1.67%"
"01.08.2024","96.49","95.14","99.93","94.84","872.03M","1.77%"
"01.07.2024","94.81","90.42","94.84","89.82","763.24M","3.30%"
"01.06.2024","91.78","90.64","94.84","90.61","649.33M","1.47%"
"01.05.2024","90.45","88.60","92.42","88.03","796.61M","2.53%"
"01.04.2024","88.22","93.29","93.30","87.34","996.46M","-6.76%"
"01.03.2024","94.62","93.44","96.40","92.29","698.68M","0.47%"
"01.02.2024","94.18","97.42","98.67","92.01","846.26M","-2.57%"
"01.01.2024","96.66","98.23","98.85","93.10","1.06B","-2.25%"
"01.12.2023","98.88","91.31","100.57","91.13","972.79M","7.99%"
"01.11.2023","91.56","84.04","92.69","84.02","1.05B","9.55%"
"01.10.2023","83.58","87.82","88.47","82.42","1.16B","-5.76%"
"01.09.2023","88.69","95.80","95.82","87.10","636.43M","-8.23%"
"01.08.2023","96.64","98.84","98.92","92.23","665.42M","-3.41%"
"01.07.2023","100.05","102.84","103.25","98.85","536.60M","-2.81%"
"01.06.2023","102.94","103.28","103.95","100.78","468.07M","-0.05%"
"01.05.2023","102.99","105.27","106.60","100.00","494.45M","-3.26%"
"01.04.2023","106.46","105.88","108.87","103.47","360.32M","0.08%"
"01.03.2023","106.37","100.82","109.10","98.88","630.65M","4.58%"
"01.02.2023","101.71","107.55","109.35","100.28","336.81M","-5.09%"
"01.01.2023","107.17","102.20","108.77","100.84","383.03M","7.64%"
"01.12.2022","99.56","103.15","109.68","99.35","469.51M","-3.09%"
"01.11.2022","102.73","97.38","103.81","93.24","434.49M","6.89%"
"01.10.2022","96.11","103.85","104.68","91.85","496.58M","-6.19%"
"01.09.2022","102.45","109.87","110.56","100.90","434.66M","-8.43%"
"01.08.2022","111.88","118.25","120.69","110.86","342.29M","-4.73%"
"01.07.2022","117.43","115.90","119.31","112.05","325.76M","2.23%"
"01.06.2022","114.87","117.03","117.34","108.11","401.13M","-1.45%"
"01.05.2022","116.56","117.86","119.74","112.62","499.39M","-2.42%"
"01.04.2022","119.45","130.01","132.96","118.67","469.45M","-9.56%"
"01.03.2022","132.08","140.36","142.33","127.65","554.10M","-5.57%"
"01.02.2022","139.87","142.28","143.57","134.51","403.89M","-1.77%"
"01.01.2022","142.39","146.41","146.94","140.02","399.86M","-3.91%"
"01.12.2021","148.19","150.49","155.12","146.41","405.74M","-2.24%"
"01.11.2021","151.59","145.80","152.07","144.46","354.58M","2.64%"
"01.10.2021","147.69","144.85","148.33","141.45","346.12M","2.34%"
"01.09.2021","144.32","149.27","151.79","143.64","350.06M","-3.03%"
"01.08.2021","148.83","149.45","151.82","145.43","340.01M","-0.46%"
"01.07.2021","149.52","143.98","152.71","143.53","355.31M","3.58%"
"01.06.2021","144.35","137.82","146.04","137.25","320.96M","4.27%"
"01.05.2021","138.44","138.70","140.60","135.36","273.42M","-0.14%"
"01.04.2021","138.64","136.55","140.98","135.94","262.45M","2.36%"
"01.03.2021","135.45","140.66","141.41","133.19","393.41M","-5.36%"
"01.02.2021","143.12","151.66","152.36","136.61","290.18M","-5.84%"
"01.01.2021","152.00","156.67","158.18","149.93","216.82M","-3.63%"
"01.12.2020","157.73","158.55","159.39","154.77","193.44M","-1.43%"
"01.11.2020","160.02","158.70","162.17","154.63","235.68M","1.55%"
"01.10.2020","157.57","162.51","163.74","156.75","222.98M","-3.49%"
"01.09.2020","163.26","161.76","167.24","161.18","197.68M","0.66%"
"01.08.2020","162.19","169.24","172.25","160.64","209.74M","-5.15%"
"01.07.2020","171.00","162.81","171.46","161.75","195.16M","4.31%"
"01.06.2020","163.93","162.10","165.32","153.16","248.21M","0.21%"
"01.05.2020","163.59","167.50","168.49","161.66","192.34M","-1.89%"
"01.04.2020","166.74","168.48","172.15","163.48","187.90M","1.07%"
"01.03.2020","164.97","155.30","179.70","139.01","566.25M","6.22%"
"01.02.2020","155.31","144.95","155.98","141.90","261.48M","6.45%"
"01.01.2020","145.90","136.79","145.99","135.90","204.52M","7.69%"
"01.12.2019","135.48","138.14","141.77","135.38","171.14M","-3.52%"
"01.11.2019","140.42","140.73","141.31","134.45","158.07M","-0.58%"
"01.10.2019","141.24","141.26","146.03","136.99","251.11M","-1.29%"
"01.09.2019","143.08","147.09","148.67","136.54","261.84M","-2.85%"
"01.08.2019","147.28","133.39","148.90","133.26","334.25M","10.83%"
"01.07.2019","132.89","132.57","134.29","129.68","181.41M","0.06%"
"01.06.2019","132.81","131.91","133.51","130.12","192.14M","0.74%"
"01.05.2019","131.83","123.69","131.90","123.04","184.96M","6.62%"
"01.04.2019","123.65","125.29","125.36","122.11","180.16M","-2.21%"
"01.03.2019","126.44","119.33","126.69","118.64","171.80M","5.35%"
"01.02.2019","120.02","121.48","122.54","119.71","129.95M","-1.60%"
"01.01.2019","121.97","121.66","123.86","119.39","200.47M","0.38%"
"01.12.2018","121.51","114.68","122.03","114.66","219.35M","5.36%"
"01.11.2018","115.33","112.85","115.76","111.90","145.33M","1.54%"
"01.10.2018","113.58","116.66","117.13","112.62","262.92M","-3.15%"
"01.09.2018","117.27","119.96","120.40","116.19","158.19M","-3.08%"
"01.08.2018","121.00","118.29","122.33","118.07","142.44M","1.08%"
"01.07.2018","119.70","121.74","122.92","118.97","135.00M","-1.66%"
"01.06.2018","121.72","120.17","122.50","118.42","158.64M","0.41%"
"01.05.2018","121.22","118.77","122.52","116.09","173.08M","1.78%"
"01.04.2018","119.10","121.35","122.36","116.94","152.62M","-2.30%"
"01.03.2018","121.90","118.43","122.29","117.59","165.44M","2.65%"
"01.02.2018","118.75","122.48","122.53","116.51","246.35M","-3.24%"
"01.01.2018","122.73","126.49","126.51","121.70","237.84M","-3.26%"
"01.12.2017","126.86","125.87","128.59","123.95","173.25M","1.39%"
"01.11.2017","125.12","124.35","127.29","123.96","149.49M","0.53%"
"01.10.2017","124.46","124.81","126.09","122.42","163.37M","-0.24%"
"01.09.2017","124.76","127.31","129.57","123.97","191.95M","-2.52%"
"01.08.2017","127.99","123.18","128.52","123.16","165.00M","3.18%"
"01.07.2017","124.04","125.00","126.03","122.58","151.22M","-0.86%"
"01.06.2017","125.12","123.70","128.57","123.66","181.93M","0.58%"
"01.05.2017","124.40","121.69","124.64","119.91","159.27M","1.68%"
"01.04.2017","122.35","120.45","124.98","120.36","161.56M","1.36%"
"01.03.2017","120.71","119.44","121.97","116.49","192.31M","-0.85%"
"01.02.2017","121.74","119.10","122.27","118.47","189.73M","1.37%"
"01.01.2017","120.10","118.41","123.14","118.18","201.20M","0.81%"
"01.12.2016","119.13","118.51","120.62","116.80","224.75M","-0.92%"
"01.11.2016","120.24","130.16","132.11","119.25","250.53M","-8.39%"
"01.10.2016","131.25","137.68","137.77","130.06","170.30M","-4.55%"
"01.09.2016","137.51","138.62","140.42","133.03","197.03M","-1.69%"
"01.08.2016","139.87","139.78","140.86","137.32","153.04M","-1.19%"
"01.07.2016","141.56","140.81","143.62","136.99","182.80M","1.92%"
"01.06.2016","138.90","130.63","140.13","130.11","206.28M","6.71%"
"01.05.2016","130.16","128.66","132.32","127.80","149.59M","0.60%"
"01.04.2016","129.38","130.98","132.99","127.12","140.75M","-0.94%"
"01.03.2016","130.61","130.82","131.09","127.21","170.32M","-0.28%"
"01.02.2016","130.98","126.79","135.25","126.29","219.93M","2.89%"
"01.01.2016","127.30","121.93","127.92","120.66","201.41M","5.57%"
"01.12.2015","120.58","121.26","124.10","118.99","194.66M","-0.72%"
"01.11.2015","121.45","121.78","122.18","118.00","123.26M","-1.08%"
"01.10.2015","122.78","124.08","126.21","121.66","181.57M","-0.62%"
"01.09.2015","123.54","121.64","124.29","118.55","198.34M","1.75%"
"01.08.2015","121.42","122.32","128.92","121.19","198.87M","-0.91%"
"01.07.2015","122.53","115.82","122.90","115.39","189.79M","4.32%"
"01.06.2015","117.46","122.11","122.38","114.88","238.98M","-4.28%"
"01.05.2015","122.71","124.73","125.04","118.13","215.30M","-2.57%"
"01.04.2015","125.95","131.33","132.48","124.51","139.26M","-3.63%"
"01.03.2015","130.69","129.00","132.76","122.97","186.21M","0.90%"
"01.02.2015","129.53","136.70","137.92","125.92","202.57M","-6.33%"
"01.01.2015","138.28","126.29","138.50","126.15","197.98M","9.82%"
"01.12.2014","125.92","122.68","127.72","120.13","148.70M","2.80%"
"01.11.2014","122.49","118.90","122.67","118.21","97.57M","2.72%"
"01.10.2014","119.25","116.89","127.68","116.82","232.30M","2.56%"
"01.09.2014","116.27","117.28","117.38","112.73","177.32M","-2.34%"
"01.08.2014","119.05","113.58","119.43","113.05","178.64M","4.45%"
"01.07.2014","113.98","112.50","116.07","110.34","159.65M","0.41%"
"01.06.2014","113.52","113.04","113.82","110.74","164.29M","-0.51%"
"01.05.2014","114.10","110.88","115.19","110.54","167.21M","2.70%"
"01.04.2014","111.10","108.26","111.99","107.17","145.12M","1.83%"
"01.03.2014","109.10","108.88","111.07","105.60","155.68M","0.49%"
"01.02.2014","108.57","107.79","109.34","105.62","134.20M","0.27%"
"01.01.2014","108.28","101.72","108.41","101.69","178.66M","6.30%"
"01.12.2013","101.86","103.80","104.41","101.17","146.38M","-2.48%"
"01.11.2013","104.45","106.97","107.00","102.16","151.37M","-2.96%"
"01.10.2013","107.64","105.90","108.73","104.27","180.55M","1.17%"
"01.09.2013","106.40","104.59","107.28","102.19","181.88M","0.39%"
"01.08.2013","105.99","106.49","107.63","102.11","197.30M","-1.59%"
