"תאריך","שער","פתיחה","גבוה","נמוך","נפח","שינוי %"
"17.11.2025","93.86","94.20","94.42","93.85","911.73K","-0.36%"
"14.11.2025","94.20","93.92","94.59","93.65","2.19M","0.10%"
"13.11.2025","94.11","94.46","94.83","94.05","2.85M","-0.48%"
"12.11.2025","94.56","94.44","94.69","94.38","1.56M","0.28%"
"11.11.2025","94.30","93.40","94.33","93.40","1.41M","0.97%"
"10.11.2025","93.39","93.04","93.49","92.66","2.46M","0.43%"
"07.11.2025","92.99","92.35","92.99","92.33","2.95M","0.70%"
"06.11.2025","92.34","92.64","92.75","92.11","3.54M","-0.66%"
"05.11.2025","92.95","92.83","93.20","92.75","1.76M","0.14%"
"04.11.2025","92.82","92.47","92.85","92.39","2.44M","0.08%"
"03.11.2025","92.75","93.19","93.19","91.96","3.08M","-0.46%"
"31.10.2025","93.18","93.02","93.39","92.80","3.06M","-0.06%"
"30.10.2025","93.24","92.82","93.85","92.82","3.31M","0.21%"
"29.10.2025","93.04","94.27","94.27","92.81","3.08M","-1.26%"
"28.10.2025","94.23","94.82","94.82","94.23","1.77M","-0.74%"
"27.10.2025","94.93","94.79","94.96","94.53","911.51K","0.46%"
"24.10.2025","94.50","94.85","94.86","94.47","1.25M","0.07%"
"23.10.2025","94.43","94.58","94.63","94.14","1.80M","-0.26%"
"22.10.2025","94.68","94.74","95.14","94.49","2.51M","-0.05%"
"21.10.2025","94.73","94.50","94.99","94.40","1.58M","0.12%"
"20.10.2025","94.62","94.25","94.71","94.20","1.09M","0.60%"
"17.10.2025","94.06","93.39","94.17","93.33","2.58M","0.78%"
"16.10.2025","93.33","94.30","94.37","93.14","3.10M","-0.98%"
"15.10.2025","94.25","94.63","95.02","93.75","1.86M","-0.48%"
"14.10.2025","94.70","93.93","94.95","93.82","2.71M","0.45%"
"13.10.2025","94.28","94.14","94.49","93.96","2.52M","0.31%"
"10.10.2025","93.99","95.11","95.31","93.98","3.82M","-0.94%"
"09.10.2025","94.88","95.40","95.52","94.77","2.01M","-0.58%"
"08.10.2025","95.43","95.48","95.48","95.08","1.72M","0.20%"
"07.10.2025","95.24","95.27","95.38","94.95","1.86M","0.17%"
"06.10.2025","95.08","95.27","95.27","94.92","1.70M","-0.07%"
"03.10.2025","95.15","94.97","95.59","94.90","2.26M","0.34%"
"02.10.2025","94.83","94.98","95.01","94.66","2.47M","-0.15%"
"01.10.2025","94.97","94.80","95.14","94.64","2.09M","-0.18%"
"30.09.2025","95.14","94.61","95.20","94.61","3.55M","0.44%"
"29.09.2025","94.72","94.77","94.78","94.44","2.79M","0.19%"
"26.09.2025","94.54","93.88","94.54","93.77","2.04M","0.99%"
"25.09.2025","93.61","94.11","94.30","93.40","1.82M","-0.58%"
"24.09.2025","94.16","94.11","94.31","94.04","1.15M","0.02%"
"23.09.2025","94.14","93.91","94.23","93.83","1.81M","0.21%"
"22.09.2025","93.94","93.74","94.05","93.44","1.97M","0.11%"
