"תאריך","שער","פתיחה","גבוה","נמוך","נפח","שינוי %"
"17.11.2025","214.64","216.29","217.30","214.42","1.39M","-1.10%"
"14.11.2025","217.03","216.34","218.07","215.70","1.55M","-0.31%"
"13.11.2025","217.70","219.67","220.00","217.38","1.47M","-1.09%"
"12.11.2025","220.10","219.45","220.38","219.38","1.18M","0.58%"
"11.11.2025","218.83","217.35","219.18","217.32","1.13M","0.73%"
"10.11.2025","217.25","216.51","217.54","215.71","1.52M","0.75%"
"07.11.2025","215.64","215.16","215.65","213.55","1.93M","0.13%"
"06.11.2025","215.35","215.89","216.22","214.75","1.83M","-0.42%"
"05.11.2025","216.26","215.33","217.12","215.18","1.74M","0.41%"
"04.11.2025","215.38","214.86","216.15","214.53","1.52M","-0.27%"
"03.11.2025","215.97","217.10","217.25","214.75","1.52M","-0.50%"
"31.10.2025","217.06","217.38","217.69","216.02","2.17M","-0.35%"
"30.10.2025","217.82","217.85","219.23","217.71","1.86M","-0.17%"
"29.10.2025","218.20","219.14","219.54","217.26","1.61M","-0.61%"
"28.10.2025","219.55","220.25","220.49","219.49","1.38M","-0.19%"
"27.10.2025","219.97","219.48","220.04","218.90","1.21M","0.67%"
"24.10.2025","218.51","218.61","219.14","218.22","1.01M","0.64%"
"23.10.2025","217.13","216.25","217.55","216.25","1.01M","0.41%"
"22.10.2025","216.25","217.39","217.39","215.61","1.41M","-0.41%"
"21.10.2025","217.13","217.25","218.24","217.00","1.07M","-0.06%"
"20.10.2025","217.26","216.51","217.51","216.47","1.15M","0.70%"
"17.10.2025","215.74","214.77","216.06","214.25","1.32M","0.27%"
"16.10.2025","215.16","217.42","217.50","214.36","1.15M","-0.87%"
"15.10.2025","217.05","217.50","218.87","215.54","1.08M","0.35%"
"14.10.2025","216.29","214.06","217.10","213.29","1.10M","0.41%"
"13.10.2025","215.41","214.79","216.17","214.56","856.50K","1.33%"
"10.10.2025","212.59","217.41","217.89","212.54","1.26M","-1.96%"
"09.10.2025","216.83","218.15","218.41","216.38","704.80K","-0.45%"
"08.10.2025","217.81","217.49","218.20","217.13","743.04K","0.25%"
"07.10.2025","217.26","218.11","218.14","216.60","831.02K","-0.23%"
"06.10.2025","217.77","218.22","218.40","217.41","910.23K","-0.01%"
"03.10.2025","217.79","217.26","218.92","217.09","788.64K","0.39%"
"02.10.2025","216.95","217.04","217.29","216.15","706.07K","0.02%"
"01.10.2025","216.91","215.44","217.03","215.10","1.18M","0.52%"
"30.09.2025","215.79","214.42","215.94","214.22","1.11M","0.56%"
"29.09.2025","214.59","215.19","215.19","214.04","956.11K","-0.38%"
"26.09.2025","215.40","214.96","215.85","214.63","662.62K","0.47%"
"25.09.2025","214.39","215.04","215.26","213.56","771.97K","-0.62%"
"24.09.2025","215.72","216.24","216.30","215.33","714.82K","-0.19%"
"23.09.2025","216.12","216.54","217.32","215.73","789.96K","-0.21%"
"22.09.2025","216.58","215.47","216.87","215.46","2.31M","0.23%"
"19.09.2025","216.09","216.26","216.43","215.11","814.96K","0.21%"
