"תאריך","שער","פתיחה","גבוה","נמוך","נפח","שינוי %"
"01.11.2025","325.93","337.00","337.02","324.99","37.14M","-2.83%"
"01.10.2025","335.42","326.93","339.06","321.62","111.05M","2.21%"
"01.09.2025","328.17","314.52","330.36","313.30","74.81M","3.13%"
"01.08.2025","318.20","307.98","320.40","304.40","78.85M","2.35%"
"01.07.2025","310.89","303.04","314.84","302.80","78.61M","2.29%"
"01.06.2025","303.93","289.34","304.53","287.58","58.62M","4.85%"
"01.05.2025","289.88","275.28","293.13","273.58","64.86M","6.25%"
"01.04.2025","272.82","273.90","279.25","236.42","130.50M","-0.73%"
"01.03.2025","274.84","293.91","294.72","268.73","86.09M","-6.19%"
"01.02.2025","292.96","293.32","303.39","287.35","59.36M","-1.89%"
"01.01.2025","298.60","291.45","302.67","284.63","66.19M","3.03%"
"01.12.2024","289.81","300.30","302.95","288.11","66.92M","-3.35%"
"01.11.2024","299.86","282.52","300.38","280.86","62.06M","6.70%"
"01.10.2024","281.03","283.00","289.70","278.87","67.07M","-0.75%"
"01.09.2024","283.16","276.80","284.35","265.92","53.00M","1.72%"
"01.08.2024","278.38","273.25","278.53","251.00","66.50M","2.13%"
"01.07.2024","272.57","268.49","279.21","265.94","63.28M","1.89%"
"01.06.2024","267.51","261.66","270.41","258.08","49.48M","2.71%"
"01.05.2024","260.44","248.46","263.92","247.59","60.99M","4.76%"
"01.04.2024","248.61","260.32","260.38","244.57","69.26M","-4.34%"
"01.03.2024","259.90","253.04","261.07","250.91","64.91M","2.90%"
"01.02.2024","252.58","240.90","253.30","240.04","60.16M","5.30%"
"01.01.2024","239.87","235.65","244.34","232.40","74.83M","1.12%"
"01.12.2023","237.22","225.99","238.74","225.59","77.46M","4.84%"
"01.11.2023","226.26","207.14","227.19","206.87","65.16M","9.42%"
"01.10.2023","206.79","212.20","217.38","202.44","80.48M","-2.65%"
"01.09.2023","212.41","225.34","225.78","209.84","59.19M","-5.15%"
"01.08.2023","223.94","227.65","228.00","215.03","66.25M","-1.93%"
"01.07.2023","228.35","220.28","228.97","216.83","55.94M","3.66%"
"01.06.2023","220.28","207.30","221.42","206.65","63.44M","6.32%"
"01.05.2023","207.18","206.00","209.68","200.20","52.89M","0.43%"
"01.04.2023","206.30","203.72","206.83","200.41","52.40M","1.08%"
"01.03.2023","204.10","199.38","204.98","190.18","76.47M","2.30%"
"01.02.2023","199.52","203.91","210.88","198.16","55.38M","-2.40%"
"01.01.2023","204.43","192.38","205.05","188.93","70.01M","6.93%"
"01.12.2022","191.19","204.83","205.63","187.38","97.54M","-6.31%"
"01.11.2022","204.06","196.00","204.10","185.13","91.88M","5.17%"
"01.10.2022","194.03","181.52","195.53","174.84","90.05M","8.11%"
"01.09.2022","179.47","197.40","206.99","179.28","101.18M","-9.61%"
"01.08.2022","198.56","204.97","217.20","198.50","67.31M","-3.73%"
"01.07.2022","206.25","188.19","206.78","185.58","62.25M","9.35%"
"01.06.2022","188.62","207.67","209.20","181.67","106.14M","-8.60%"
"01.05.2022","206.36","207.15","215.91","190.66","116.25M","-0.25%"
"01.04.2022","206.88","228.66","230.88","206.71","83.36M","-9.13%"
"01.03.2022","227.67","220.62","233.36","209.27","108.20M","2.94%"
"01.02.2022","221.17","227.94","231.81","207.00","95.59M","-2.49%"
"01.01.2022","226.81","242.42","244.06","212.10","119.56M","-6.06%"
"01.12.2021","241.44","236.41","243.78","229.02","89.52M","3.42%"
"01.11.2021","233.45","237.75","243.60","233.10","77.30M","-1.46%"
"01.10.2021","236.91","223.10","237.19","220.54","63.22M","6.69%"
"01.09.2021","222.06","233.82","234.65","221.94","77.92M","-4.76%"
"01.08.2021","233.17","227.85","233.97","224.40","68.53M","2.86%"
"01.07.2021","226.69","223.40","228.75","217.82","76.92M","1.74%"
"01.06.2021","222.82","219.53","223.40","216.08","69.16M","2.17%"
"01.05.2021","218.09","218.57","218.99","209.21","80.78M","0.46%"
"01.04.2021","217.10","207.99","219.65","207.56","83.50M","5.04%"
