"תאריך","שער","פתיחה","גבוה","נמוך","נפח","שינוי %"
"17.11.2025","184.70","186.86","187.45","184.59","4.80M","-1.31%"
"14.11.2025","187.15","186.93","187.90","186.09","5.03M","-0.20%"
"13.11.2025","187.53","189.28","189.60","187.32","4.89M","-1.00%"
"12.11.2025","189.43","188.70","189.97","188.61","3.24M","0.48%"
"11.11.2025","188.52","187.32","188.76","187.13","3.21M","0.82%"
"10.11.2025","186.98","186.55","187.28","185.59","4.21M","0.44%"
"07.11.2025","186.16","184.80","186.19","184.35","4.83M","0.64%"
"06.11.2025","184.97","185.00","185.77","184.53","3.91M","-0.13%"
"05.11.2025","185.21","184.46","185.82","184.24","2.49M","0.48%"
"04.11.2025","184.32","183.78","184.66","183.48","3.07M","-0.30%"
"03.11.2025","184.88","185.55","185.75","183.46","4.21M","-0.47%"
"31.10.2025","185.76","185.00","186.23","184.73","3.81M","0.09%"
"30.10.2025","185.60","185.32","187.32","185.32","4.44M","-0.22%"
"29.10.2025","186.00","187.07","187.49","185.41","5.40M","-0.79%"
"28.10.2025","187.49","188.59","188.59","187.40","4.47M","-0.67%"
"27.10.2025","188.76","188.68","188.85","188.15","2.38M","0.33%"
"24.10.2025","188.13","188.38","188.64","188.02","2.22M","0.50%"
"23.10.2025","187.20","186.88","187.47","186.35","2.51M","0.29%"
"22.10.2025","186.65","187.41","187.42","185.93","3.54M","-0.30%"
"21.10.2025","187.22","187.22","187.99","186.85","2.14M","0.11%"
"20.10.2025","187.02","186.34","187.23","186.34","2.16M","0.74%"
"17.10.2025","185.64","184.89","186.01","184.62","3.98M","0.50%"
"16.10.2025","184.72","186.98","187.09","184.20","5.63M","-1.03%"
"15.10.2025","186.65","186.92","187.99","185.20","3.00M","0.28%"
"14.10.2025","186.13","183.56","186.91","183.27","3.95M","0.86%"
"13.10.2025","184.54","183.80","185.01","183.70","2.68M","0.91%"
"10.10.2025","182.87","186.71","186.91","182.83","4.94M","-1.71%"
"09.10.2025","186.05","187.33","187.67","185.74","2.22M","-0.55%"
"08.10.2025","187.07","187.47","187.67","186.45","2.19M","-0.05%"
"07.10.2025","187.16","187.66","187.88","186.63","2.73M","-0.09%"
"06.10.2025","187.33","188.09","188.15","187.01","2.14M","-0.11%"
"03.10.2025","187.53","186.88","188.43","186.85","2.01M","0.54%"
"02.10.2025","186.53","186.57","187.06","185.90","2.32M","-0.18%"
"01.10.2025","186.87","186.14","187.11","185.75","2.82M","0.20%"
"30.09.2025","186.49","185.65","186.60","185.12","4.25M","0.39%"
"29.09.2025","185.76","186.17","186.20","185.07","3.94M","-0.43%"
"26.09.2025","186.57","185.67","186.77","185.52","2.48M","0.83%"
"25.09.2025","185.04","185.62","185.79","184.49","2.84M","-0.46%"
"24.09.2025","185.90","186.26","186.64","185.69","2.40M","-0.19%"
"23.09.2025","186.26","185.87","187.19","185.87","2.67M","0.24%"
"22.09.2025","185.81","185.16","186.13","184.90","2.67M","0.07%"
"19.09.2025","185.68","186.13","186.14","185.00","2.67M","-0.08%"
"18.09.2025","185.82","185.30","186.29","185.00","2.99M","0.35%"
"17.09.2025","185.17","184.80","186.37","184.10","4.37M","0.43%"
"16.09.2025","184.37","184.91","185.17","183.96","2.51M","-0.11%"
"15.09.2025","184.57","185.40","185.57","184.36","4.15M","-0.19%"
"12.09.2025","184.93","185.80","186.09","184.85","1.91M","-0.61%"
"11.09.2025","186.06","184.19","186.24","183.97","2.61M","1.22%"
"10.09.2025","183.81","183.47","184.41","183.11","3.55M","0.73%"
"09.09.2025","182.47","182.12","182.85","181.95","3.00M","0.09%"
"08.09.2025","182.31","182.42","182.42","181.22","2.81M","-0.13%"
"05.09.2025","182.55","183.27","183.92","181.71","3.46M","-0.32%"
"04.09.2025","183.14","182.04","183.14","181.56","2.73M","0.74%"
"03.09.2025","181.79","182.00","182.38","180.84","3.78M","-0.44%"
"02.09.2025","182.60","182.15","182.60","181.07","5.51M","-0.34%"
"29.08.2025","183.22","183.13","183.68","182.64","2.21M","0.04%"
"28.08.2025","183.15","183.36","183.39","182.44","1.94M","0.04%"
"27.08.2025","183.07","182.39","183.33","182.26","1.90M","0.30%"
"26.08.2025","182.53","181.91","182.67","181.71","1.92M","0.27%"
"25.08.2025","182.03","183.34","183.42","182.03","2.10M","-0.80%"
"22.08.2025","183.50","181.88","183.93","181.88","2.70M","1.41%"
"21.08.2025","180.95","181.11","181.52","180.46","2.54M","-0.38%"
"20.08.2025","181.64","181.31","182.02","181.01","3.87M","0.28%"
"19.08.2025","181.13","180.41","181.78","180.30","2.60M","0.47%"
"18.08.2025","180.28","180.25","180.66","180.00","1.91M","0.02%"
"15.08.2025","180.25","181.07","181.11","180.02","1.89M","-0.12%"
"14.08.2025","180.47","180.00","180.60","179.46","2.32M","-0.19%"
"13.08.2025","180.81","179.99","180.88","179.71","2.96M","0.77%"
"12.08.2025","179.43","178.14","179.52","178.10","2.23M","1.01%"
"11.08.2025","177.63","178.23","178.73","177.28","2.80M","-0.20%"
"08.08.2025","177.99","177.34","178.26","177.30","2.92M","0.63%"
"07.08.2025","176.88","177.95","178.22","176.23","4.81M","-0.08%"
"06.08.2025","177.03","177.41","177.66","176.64","3.33M","-0.10%"
"05.08.2025","177.20","177.32","177.69","176.37","3.24M","0.01%"
"04.08.2025","177.18","176.03","177.18","175.81","3.04M","0.95%"
"01.08.2025","175.51","176.18","176.20","174.35","3.84M","-0.86%"
"31.07.2025","177.04","177.95","178.98","176.71","5.32M","-0.93%"
"30.07.2025","178.71","179.72","179.97","177.86","3.24M","-0.56%"
"29.07.2025","179.72","179.96","180.17","179.31","3.05M","-0.01%"
"28.07.2025","179.74","180.48","180.48","179.43","2.58M","-0.51%"
"25.07.2025","180.66","180.03","180.74","179.51","2.17M","0.43%"
"24.07.2025","179.89","180.22","180.78","179.82","3.14M","-0.38%"
"23.07.2025","180.57","179.66","180.61","179.54","2.75M","0.95%"
"22.07.2025","178.87","177.30","179.04","177.30","2.70M","0.81%"
"21.07.2025","177.43","178.10","178.65","177.34","2.10M","-0.13%"
"18.07.2025","177.66","178.08","178.51","177.36","3.29M","-0.16%"
"17.07.2025","177.95","176.81","178.07","176.56","2.12M","0.55%"
"16.07.2025","176.97","176.66","177.10","175.18","2.49M","0.50%"
"15.07.2025","176.09","178.32","178.55","176.06","3.11M","-1.32%"
"14.07.2025","178.44","177.93","178.46","177.54","1.91M","0.10%"
"11.07.2025","178.26","178.50","178.62","177.73","2.22M","-0.64%"
"10.07.2025","179.40","178.36","179.76","178.08","1.96M","0.65%"
"09.07.2025","178.25","178.51","178.68","177.45","1.85M","0.08%"
"08.07.2025","178.11","178.11","178.65","177.82","2.34M","-0.05%"
"07.07.2025","178.20","179.32","179.48","177.37","2.67M","-0.80%"
"03.07.2025","179.63","179.21","179.95","178.85","1.67M","0.53%"
"02.07.2025","178.69","178.57","178.73","177.82","3.79M","0.07%"
"01.07.2025","178.56","176.51","178.99","176.40","3.81M","1.03%"
"30.06.2025","176.74","176.35","176.93","175.83","2.73M","0.04%"
"27.06.2025","176.67","176.43","177.55","175.99","2.70M","0.28%"
"26.06.2025","176.18","175.43","176.32","175.33","3.27M","0.69%"
"25.06.2025","174.97","175.50","175.77","174.74","2.31M","-0.54%"
"24.06.2025","175.92","175.19","176.33","174.98","2.36M","0.74%"
"23.06.2025","174.62","173.49","174.72","172.60","2.52M","0.74%"
"20.06.2025","173.34","173.70","174.10","173.07","1.66M","0.17%"
"18.06.2025","173.04","173.12","174.06","172.57","1.79M","0.15%"
"17.06.2025","172.78","173.57","174.10","172.64","1.87M","-0.83%"
"16.06.2025","174.22","174.19","175.07","173.85","2.45M","0.48%"
"13.06.2025","173.38","173.82","174.68","172.98","2.20M","-0.78%"
"12.06.2025","174.75","173.56","174.78","173.03","2.32M","0.59%"
"11.06.2025","173.73","174.25","174.38","173.25","2.15M","-0.16%"
"10.06.2025","174.01","173.10","174.25","173.10","1.78M","0.53%"
"09.06.2025","173.10","173.32","173.82","172.56","2.20M","0.05%"
"06.06.2025","173.02","172.65","173.40","172.42","2.32M","0.99%"
"05.06.2025","171.32","172.11","172.31","170.95","1.96M","-0.22%"
"04.06.2025","171.69","172.85","172.96","171.67","2.57M","-0.52%"
"03.06.2025","172.58","171.31","172.71","170.95","2.69M","0.53%"
"02.06.2025","171.67","171.03","171.73","169.61","2.54M","0.16%"
"30.05.2025","171.39","170.79","171.90","170.09","2.77M","0.16%"
"29.05.2025","171.12","170.83","171.18","169.61","3.18M","0.44%"
"28.05.2025","170.37","171.65","171.88","170.11","2.83M","-0.73%"
"27.05.2025","171.63","170.56","171.68","169.83","1.77M","1.53%"
"23.05.2025","169.04","167.89","169.42","167.63","2.62M","-0.08%"
"22.05.2025","169.18","169.43","170.09","168.39","2.35M","-0.41%"
"21.05.2025","169.88","171.99","172.19","169.82","2.37M","-1.79%"
"20.05.2025","172.98","173.03","173.54","172.43","2.64M","-0.20%"
"19.05.2025","173.32","172.00","173.53","171.84","1.77M","0.13%"
"16.05.2025","173.10","171.49","173.10","171.08","1.62M","0.97%"
"15.05.2025","171.44","169.23","171.51","169.10","2.74M","1.17%"
"14.05.2025","169.46","170.66","170.66","169.25","2.81M","-0.73%"
"13.05.2025","170.70","171.32","171.51","170.69","2.49M","-0.49%"
"12.05.2025","171.54","171.53","171.78","170.50","2.36M","2.09%"
"09.05.2025","168.03","168.83","168.85","167.83","1.99M","-0.17%"
"08.05.2025","168.31","168.36","169.94","167.83","2.68M","0.42%"
"07.05.2025","167.61","167.20","168.32","166.78","2.88M","0.62%"
"06.05.2025","166.57","166.76","167.82","166.20","3.46M","-0.67%"
"05.05.2025","167.69","167.72","168.55","166.94","2.33M","-0.51%"
"02.05.2025","168.55","168.01","169.02","167.49","2.18M","1.49%"
"01.05.2025","166.08","166.01","167.30","165.37","2.16M","-0.24%"
"30.04.2025","166.48","165.47","167.00","163.34","3.44M","0.13%"
"29.04.2025","166.26","164.87","166.62","164.71","2.52M","0.59%"
"28.04.2025","165.29","165.09","166.03","164.04","1.71M","0.33%"
"25.04.2025","164.75","164.78","164.97","163.34","2.11M","-0.20%"
"24.04.2025","165.08","163.19","165.33","162.50","1.92M","1.06%"
"23.04.2025","163.35","164.85","166.32","162.79","3.44M","0.63%"
"22.04.2025","162.33","160.14","162.67","160.05","2.78M","2.26%"
"21.04.2025","158.75","161.01","161.21","157.09","3.84M","-1.86%"
"17.04.2025","161.76","160.84","163.16","160.72","2.98M","0.24%"
"16.04.2025","161.38","163.27","163.98","160.41","2.83M","-1.15%"
"15.04.2025","163.25","164.22","165.12","163.19","2.83M","-0.43%"
"14.04.2025","163.96","163.83","164.64","162.42","3.98M","1.32%"
"11.04.2025","161.83","159.24","162.72","158.01","3.83M","1.40%"
"10.04.2025","159.59","161.78","161.78","155.39","7.99M","-2.61%"
"09.04.2025","163.87","151.95","164.66","151.24","5.82M","6.64%"
"08.04.2025","153.67","160.51","160.69","151.58","5.90M","-1.28%"
"07.04.2025","155.66","152.95","160.59","150.43","10.12M","-0.82%"
"04.04.2025","156.94","163.49","163.86","156.71","6.87M","-5.93%"
"03.04.2025","166.84","169.55","170.38","166.75","5.80M","-3.72%"
"02.04.2025","173.28","171.37","173.55","171.25","3.74M","0.55%"
"01.04.2025","172.34","172.25","173.05","170.86","4.78M","-0.23%"
"31.03.2025","172.74","170.04","173.50","170.04","3.61M","1.12%"
"28.03.2025","170.83","172.68","173.04","170.61","3.30M","-1.17%"
"27.03.2025","172.85","173.01","173.76","172.29","1.55M","-0.80%"
"26.03.2025","174.24","174.49","175.40","173.79","2.43M","0.12%"
"25.03.2025","174.03","174.78","174.97","173.38","2.30M","-0.30%"
"24.03.2025","174.55","173.95","174.83","173.61","1.78M","1.19%"
"21.03.2025","172.49","172.57","172.95","171.42","4.11M","-0.54%"
"20.03.2025","173.42","172.97","174.26","172.68","2.60M","-0.20%"
"19.03.2025","173.77","172.94","174.49","172.39","3.91M","0.61%"
"18.03.2025","172.72","173.31","173.50","172.13","2.48M","-0.50%"
"17.03.2025","173.58","170.99","173.99","170.99","1.93M","1.33%"
"14.03.2025","171.30","169.47","171.57","168.94","2.15M","1.62%"
"13.03.2025","168.57","169.55","170.39","168.03","3.06M","-0.51%"
"12.03.2025","169.44","170.88","171.00","168.50","2.86M","-0.45%"
"11.03.2025","170.20","172.04","172.19","169.38","3.94M","-1.22%"
"10.03.2025","172.30","172.93","174.57","171.00","3.03M","-1.23%"
"07.03.2025","174.45","172.51","174.92","172.42","2.59M","0.89%"
"06.03.2025","172.91","172.81","173.75","171.84","3.82M","-0.84%"
"05.03.2025","174.38","172.89","174.82","172.14","2.92M","0.83%"
"04.03.2025","172.94","175.43","175.73","172.57","3.52M","-2.01%"
"03.03.2025","176.49","178.58","179.10","175.42","3.93M","-0.92%"
"28.02.2025","178.13","176.24","178.24","175.22","3.85M","1.39%"
"27.02.2025","175.68","176.45","177.78","175.59","1.97M","-0.34%"
"26.02.2025","176.28","177.09","177.57","175.82","1.99M","-0.37%"
"25.02.2025","176.94","176.87","177.53","175.89","2.32M","0.24%"
"24.02.2025","176.51","176.88","177.41","176.31","2.05M","0.10%"
"21.02.2025","176.34","178.10","178.10","176.13","1.99M","-1.15%"
"20.02.2025","178.40","178.67","178.67","177.39","2.35M","-0.45%"
"19.02.2025","179.21","178.08","179.26","177.93","1.87M","0.48%"
"18.02.2025","178.35","177.39","178.39","177.02","2.53M","0.55%"
"14.02.2025","177.37","178.02","178.47","177.29","1.77M","-0.23%"
"13.02.2025","177.78","176.88","177.92","176.48","2.74M","0.73%"
"12.02.2025","176.50","176.06","176.87","175.74","2.70M","-0.56%"
"11.02.2025","177.49","176.46","177.51","176.09","2.64M","0.36%"
"10.02.2025","176.85","176.95","176.95","175.85","2.25M","0.37%"
"07.02.2025","176.20","177.82","177.84","176.09","2.65M","-0.64%"
"06.02.2025","177.34","178.24","178.24","176.47","1.72M","-0.14%"
"05.02.2025","177.58","176.95","177.63","175.93","4.20M","0.79%"
"04.02.2025","176.18","175.62","176.46","175.43","2.29M","0.00%"
"03.02.2025","176.18","174.39","176.78","173.85","3.78M","-0.29%"
"31.01.2025","176.70","177.71","178.25","176.48","2.60M","-0.60%"
"30.01.2025","177.77","177.01","178.20","176.67","2.61M","1.05%"
"29.01.2025","175.93","176.16","177.22","175.60","2.28M","-0.11%"
"28.01.2025","176.12","177.53","177.53","175.92","1.91M","-0.84%"
"27.01.2025","177.61","176.22","177.61","176.17","3.84M","0.20%"
"24.01.2025","177.25","177.22","177.76","176.93","1.80M","-0.03%"
"23.01.2025","177.30","176.31","177.30","176.01","1.72M","0.76%"
"22.01.2025","175.97","177.11","177.12","175.93","2.02M","-0.51%"
"21.01.2025","176.88","175.49","176.89","175.49","2.94M","1.26%"
"17.01.2025","174.68","174.32","175.18","173.96","2.81M","0.56%"
"16.01.2025","173.70","172.58","173.78","172.19","2.83M","0.72%"
"15.01.2025","172.45","172.81","173.02","171.92","2.37M","1.11%"
"14.01.2025","170.56","169.86","170.64","169.15","2.79M","0.78%"
"13.01.2025","169.24","167.39","169.31","167.36","3.20M","0.90%"
"10.01.2025","167.73","169.24","169.68","167.52","2.66M","-1.43%"
"08.01.2025","170.16","169.65","170.25","168.68","2.06M","0.09%"
"07.01.2025","170.00","170.85","171.31","169.47","2.22M","-0.07%"
"06.01.2025","170.12","170.95","171.77","169.80","2.37M","-0.14%"
"03.01.2025","170.36","169.79","170.64","169.05","1.72M","0.77%"
"02.01.2025","169.06","170.30","170.72","168.32","2.53M","-0.14%"
"31.12.2024","169.30","169.43","169.92","168.63","3.19M","0.21%"
"30.12.2024","168.94","169.42","169.62","167.84","2.51M","-1.01%"
"27.12.2024","170.67","170.94","171.78","169.89","2.65M","-0.59%"
"26.12.2024","171.68","170.87","171.83","170.60","2.72M","0.22%"
"24.12.2024","171.30","170.13","171.36","169.78","2.05M","0.84%"
"23.12.2024","169.88","169.11","170.03","168.24","2.70M","-0.24%"
"20.12.2024","170.29","168.16","171.51","167.82","3.04M","1.17%"
"19.12.2024","168.32","169.84","170.57","168.28","2.56M","-0.35%"
"18.12.2024","168.91","173.45","173.66","168.84","2.40M","-2.53%"
"17.12.2024","173.29","173.53","173.89","172.85","1.96M","-0.65%"
"16.12.2024","174.43","175.36","175.80","174.23","2.31M","-0.36%"
"13.12.2024","175.06","175.35","175.47","174.65","1.37M","0.21%"
"12.12.2024","174.70","175.65","175.81","174.68","1.70M","-0.47%"
"11.12.2024","175.52","176.59","176.59","175.46","2.42M","-0.30%"
"10.12.2024","176.04","177.00","177.09","175.61","1.65M","-0.68%"
"09.12.2024","177.24","178.67","178.76","177.15","1.72M","-0.59%"
"06.12.2024","178.30","179.20","179.25","178.13","1.53M","-0.26%"
"05.12.2024","178.77","179.28","179.64","178.70","1.67M","-0.19%"
"04.12.2024","179.11","179.92","179.99","178.57","2.73M","-0.34%"
"03.12.2024","179.72","181.12","181.14","179.72","1.65M","-0.52%"
"02.12.2024","180.66","181.79","181.95","180.21","1.87M","-0.67%"
"29.11.2024","181.87","181.62","182.38","181.55","625.43K","0.34%"
"27.11.2024","181.26","181.66","182.33","181.20","1.43M","-0.04%"
