"תאריך","שער","פתיחה","גבוה","נמוך","נפח","שינוי %"
"27.10.2023","131.82","133.54","133.58","131.42","5.85M","-1.38%"
"26.10.2023","133.67","133.88","134.59","133.54","3.39M","-0.34%"
"25.10.2023","134.13","134.64","134.94","133.88","3.49M","-0.52%"
"24.10.2023","134.83","134.61","135.34","134.33","3.00M","0.67%"
"23.10.2023","133.93","134.51","135.24","133.86","2.94M","-0.77%"
"20.10.2023","134.97","136.27","136.57","134.94","3.07M","-1.00%"
"19.10.2023","136.33","137.49","138.14","136.13","2.77M","-0.92%"
"18.10.2023","137.59","138.77","138.83","137.32","2.52M","-1.03%"
"17.10.2023","139.02","137.85","139.70","137.85","2.58M","0.25%"
"16.10.2023","138.68","138.18","139.13","137.95","2.94M","1.00%"
"13.10.2023","137.31","137.64","138.47","136.81","1.99M","0.25%"
"12.10.2023","136.97","138.24","138.24","136.27","2.45M","-0.74%"
"11.10.2023","137.99","138.22","138.39","137.16","1.98M","-0.07%"
"10.10.2023","138.08","137.69","138.76","137.46","1.53M","0.60%"
"09.10.2023","137.25","136.00","137.38","135.80","1.92M","0.87%"
"06.10.2023","136.06","134.55","136.74","133.68","2.97M","0.67%"
"05.10.2023","135.16","135.28","135.67","134.48","3.31M","-0.32%"
"04.10.2023","135.59","135.49","135.66","134.26","2.46M","0.12%"
"03.10.2023","135.43","135.97","136.49","134.96","3.44M","-0.86%"
"02.10.2023","136.60","137.49","137.65","135.71","3.35M","-0.96%"
"29.09.2023","137.93","139.48","139.48","137.51","5.16M","-0.65%"
"28.09.2023","138.83","138.27","139.25","138.22","2.38M","0.43%"
"27.09.2023","138.24","138.70","138.91","137.27","2.45M","-0.11%"
"26.09.2023","138.39","139.23","139.56","138.21","2.94M","-1.23%"
"25.09.2023","140.12","139.26","140.14","139.15","2.49M","0.31%"
"22.09.2023","139.69","140.23","140.50","139.57","2.62M","-0.34%"
"21.09.2023","140.17","141.32","141.55","140.11","2.74M","-1.88%"
"20.09.2023","142.85","143.69","144.27","142.83","1.66M","-0.25%"
"19.09.2023","143.21","143.58","143.75","142.56","1.70M","-0.26%"
"18.09.2023","143.58","143.61","143.99","143.08","1.78M","0.03%"
"15.09.2023","143.53","144.00","144.59","143.43","2.33M","-0.69%"
"14.09.2023","144.53","143.87","144.68","143.81","1.73M","1.11%"
"13.09.2023","142.94","143.20","143.60","142.57","1.69M","-0.11%"
"12.09.2023","143.10","142.67","143.76","142.67","1.80M","0.10%"
"11.09.2023","142.96","143.16","143.41","142.73","1.87M","0.23%"
"08.09.2023","142.63","142.36","142.87","142.18","1.47M","0.22%"
"07.09.2023","142.32","142.01","142.66","141.85","1.66M","0.06%"
"06.09.2023","142.23","142.28","142.54","141.51","2.21M","-0.27%"
"05.09.2023","142.62","143.93","144.20","142.60","2.16M","-0.97%"
"01.09.2023","144.02","144.29","144.59","143.54","1.70M","0.36%"
"31.08.2023","143.51","144.39","144.45","143.50","2.17M","-0.42%"
"30.08.2023","144.11","144.02","144.54","143.78","1.97M","0.14%"
"29.08.2023","143.91","142.80","143.92","142.64","2.91M","0.86%"
"28.08.2023","142.68","142.52","143.13","142.21","1.83M","0.52%"
"25.08.2023","141.94","141.74","142.44","140.84","1.93M","0.54%"
"24.08.2023","141.18","142.00","143.17","141.15","1.94M","-0.72%"
"23.08.2023","142.20","141.56","142.26","141.35","2.17M","0.62%"
"22.08.2023","141.32","142.34","142.54","141.19","1.71M","-0.60%"
"21.08.2023","142.17","142.42","142.64","141.30","2.19M","-0.16%"
"18.08.2023","142.40","141.43","142.65","141.34","2.43M","0.24%"
"17.08.2023","142.06","143.02","143.45","141.92","1.82M","-0.42%"
"16.08.2023","142.66","143.37","144.11","142.56","1.77M","-0.56%"
"15.08.2023","143.46","144.52","144.60","143.26","1.82M","-1.29%"
"14.08.2023","145.33","145.27","145.44","144.88","1.42M","-0.10%"
"11.08.2023","145.47","144.66","145.60","144.48","1.95M","0.42%"
"10.08.2023","144.86","145.67","146.58","144.62","2.12M","-0.16%"
"09.08.2023","145.09","145.56","146.02","144.90","2.67M","-0.31%"
"08.08.2023","145.54","145.12","145.67","144.21","1.48M","-0.45%"
"07.08.2023","146.20","145.34","146.34","145.21","1.46M","1.02%"
"04.08.2023","144.73","145.78","146.34","144.53","1.78M","-0.45%"
"03.08.2023","145.38","145.37","145.85","144.80","2.01M","-0.28%"
"02.08.2023","145.79","146.00","146.39","145.59","2.68M","-0.60%"
"01.08.2023","146.67","146.77","147.22","146.22","1.52M","-0.23%"
"31.07.2023","147.01","146.96","147.32","146.50","1.84M","0.20%"
"28.07.2023","146.71","147.13","147.15","146.19","2.00M","0.33%"
"27.07.2023","146.23","147.56","147.73","146.04","2.05M","-0.63%"
"26.07.2023","147.15","146.72","147.61","146.59","1.67M","0.12%"
"25.07.2023","146.98","146.63","147.34","146.54","2.21M","-0.14%"
"24.07.2023","147.18","146.54","147.47","146.51","2.27M","0.51%"
