"תאריך","שער","פתיחה","גבוה","נמוך","נפח","שינוי %"
"01.11.2025","73.91","74.86","75.89","73.37","55.42M","-0.96%"
"01.10.2025","74.63","73.78","75.75","72.07","116.26M","1.59%"
"01.09.2025","73.46","70.43","74.21","70.36","95.47M","2.93%"
"01.08.2025","71.37","68.41","72.46","67.85","82.21M","4.24%"
"01.07.2025","68.47","69.02","71.08","68.36","90.29M","-0.90%"
"01.06.2025","69.09","67.19","69.14","66.25","98.52M","3.21%"
"01.05.2025","66.94","63.99","67.49","63.64","82.36M","4.82%"
"01.04.2025","63.86","62.09","64.04","54.98","122.60M","2.83%"
"01.03.2025","62.10","62.94","64.71","61.44","99.75M","0.08%"
"01.02.2025","62.05","59.88","63.53","59.75","67.76M","1.85%"
"01.01.2025","60.92","59.07","61.79","57.58","78.16M","3.38%"
"01.12.2024","58.93","61.71","63.17","58.29","79.64M","-4.50%"
"01.11.2024","61.71","62.08","63.19","60.29","83.12M","-0.23%"
"01.10.2024","61.85","64.87","64.88","61.40","65.46M","-4.46%"
"01.09.2024","64.74","63.01","65.52","60.88","59.85M","2.16%"
"01.08.2024","63.37","61.29","63.53","56.91","64.81M","2.41%"
"01.07.2024","61.88","60.62","63.10","60.08","49.54M","2.62%"
"01.06.2024","60.30","61.57","61.89","59.97","50.44M","-1.58%"
"01.05.2024","61.27","58.88","62.35","58.73","73.14M","4.02%"
"01.04.2024","58.90","60.44","60.70","57.67","64.44M","-2.32%"
"01.03.2024","60.30","58.99","60.51","58.77","78.79M","2.85%"
"01.02.2024","58.63","57.17","59.05","56.48","56.44M","2.91%"
"01.01.2024","56.97","57.45","57.76","55.40","67.78M","-1.71%"
"01.12.2023","57.96","55.81","58.18","55.65","67.55M","3.54%"
"01.11.2023","55.98","51.83","56.14","51.75","49.26M","8.24%"
"01.10.2023","51.72","53.25","54.13","50.95","63.23M","-3.36%"
"01.09.2023","53.52","56.29","56.35","52.96","45.01M","-3.91%"
"01.08.2023","55.70","57.71","57.85","54.05","45.29M","-4.39%"
"01.07.2023","58.26","56.29","58.42","54.51","37.97M","3.89%"
"01.06.2023","56.08","54.52","57.99","54.52","49.34M","3.32%"
"01.05.2023","54.28","56.23","56.69","53.90","50.68M","-3.50%"
