"תאריך","שער","פתיחה","גבוה","נמוך","נפח","שינוי %"
"01.11.2025","77.11","76.07","77.79","75.16","166.28M","1.09%"
"01.10.2025","76.28","78.26","80.25","75.81","293.80M","-2.67%"
"01.09.2025","78.37","80.92","81.28","77.49","301.83M","-2.98%"
"01.08.2025","80.78","80.22","83.89","80.02","341.07M","1.25%"
"01.07.2025","79.78","81.06","82.47","79.65","347.57M","-1.47%"
"01.06.2025","80.97","82.59","82.93","79.97","270.17M","-2.25%"
"01.05.2025","82.83","81.29","83.19","79.26","262.66M","1.22%"
"01.04.2025","81.83","81.86","82.82","75.61","384.09M","0.20%"
"01.03.2025","81.67","82.68","84.35","78.43","320.24M","-1.70%"
"01.02.2025","83.08","78.41","83.88","78.19","231.13M","5.19%"
"01.01.2025","78.98","78.78","80.16","75.81","199.65M","0.47%"
"01.12.2024","78.61","83.14","83.29","78.12","193.15M","-5.54%"
"01.11.2024","83.22","80.38","83.30","79.36","183.93M","3.87%"
"01.10.2024","80.12","83.03","83.19","79.96","208.30M","-3.47%"
"01.09.2024","83.00","82.53","84.53","82.08","220.73M","0.59%"
"01.08.2024","82.51","78.00","82.76","77.44","234.31M","5.99%"
"01.07.2024","77.85","76.98","79.15","75.89","214.92M","1.66%"
"01.06.2024","76.58","77.09","78.33","76.36","174.49M","-0.98%"
"01.05.2024","77.34","75.28","78.61","74.71","279.32M","2.44%"
"01.04.2024","75.50","76.35","76.47","72.93","292.87M","-1.13%"
"01.03.2024","76.36","74.25","76.61","73.94","228.60M","2.57%"
"01.02.2024","74.45","72.95","75.16","72.36","288.54M","2.10%"
"01.01.2024","72.92","71.77","73.64","71.56","237.63M","1.24%"
"01.12.2023","72.03","70.61","72.47","70.01","223.57M","1.94%"
"01.11.2023","70.66","67.91","70.71","67.41","253.15M","4.13%"
"01.10.2023","67.86","68.65","68.74","65.18","339.43M","-1.38%"
"01.09.2023","68.81","73.00","73.04","68.44","202.65M","-5.43%"
"01.08.2023","72.76","75.65","76.08","71.97","248.42M","-3.95%"
"01.07.2023","75.75","74.06","76.39","73.11","242.99M","2.13%"
"01.06.2023","74.17","72.65","75.05","72.24","249.28M","2.06%"
"01.05.2023","72.67","77.31","77.82","72.31","280.49M","-6.16%"
"01.04.2023","77.44","74.76","77.58","74.48","184.06M","3.65%"
"01.03.2023","74.71","71.81","74.74","70.85","312.47M","3.72%"
"01.02.2023","72.03","73.68","74.66","72.00","189.56M","-2.32%"
"01.01.2023","73.74","74.59","76.25","71.60","218.75M","-1.09%"
"01.12.2022","74.55","77.05","77.62","73.81","172.82M","-3.42%"
"01.11.2022","77.19","72.92","77.21","70.49","215.91M","6.12%"
"01.10.2022","72.74","67.21","73.30","66.18","233.29M","9.01%"
"01.09.2022","66.73","72.86","74.51","66.68","293.96M","-8.73%"
"01.08.2022","73.11","74.39","77.40","73.11","223.10M","-1.85%"
"01.07.2022","74.49","72.20","75.22","71.58","207.87M","3.20%"
"01.06.2022","72.18","74.57","74.63","68.22","311.77M","-3.08%"
"01.05.2022","74.47","78.18","78.29","69.57","597.33M","-4.08%"
"01.04.2022","77.64","76.03","81.34","75.54","374.22M","2.31%"
"01.03.2022","75.89","74.70","76.35","71.34","391.87M","1.32%"
"01.02.2022","74.90","75.97","77.21","72.19","324.88M","-1.41%"
"01.01.2022","75.97","76.66","78.18","73.76","435.71M","-1.48%"
"01.12.2021","77.11","70.77","77.23","69.92","304.65M","9.70%"
