"תאריך","שער","פתיחה","גבוה","נמוך","נפח","שינוי %"
"01.11.2025","89.44","89.03","90.35","88.12","104.66M","0.38%"
"01.10.2025","89.10","87.38","93.77","87.24","251.80M","2.17%"
"01.09.2025","87.21","84.00","87.54","82.30","228.15M","3.43%"
"01.08.2025","84.32","85.57","87.67","84.18","218.01M","-1.58%"
"01.07.2025","85.67","81.63","86.02","80.35","287.13M","4.91%"
"01.06.2025","81.66","81.57","83.17","79.78","249.21M","-0.32%"
"01.05.2025","81.92","79.39","83.05","78.11","220.30M","3.83%"
"01.04.2025","78.90","78.80","80.21","71.02","303.20M","0.06%"
"01.03.2025","78.85","79.14","79.75","75.66","213.26M","-0.47%"
"01.02.2025","79.22","76.85","80.53","76.73","159.59M","1.72%"
"01.01.2025","77.88","76.24","80.44","73.91","235.78M","2.89%"
"01.12.2024","75.69","82.92","82.95","74.70","187.76M","-8.73%"
"01.11.2024","82.93","79.90","83.41","76.78","207.14M","3.78%"
"01.10.2024","79.91","80.69","82.50","78.05","252.75M","-1.08%"
"01.09.2024","80.78","76.31","80.83","75.80","241.09M","5.89%"
"01.08.2024","76.29","72.93","76.40","72.18","218.77M","4.81%"
"01.07.2024","72.79","68.85","72.95","67.60","201.34M","6.82%"
"01.06.2024","68.14","72.60","72.67","67.82","206.31M","-6.30%"
"01.05.2024","72.72","66.73","72.90","66.47","286.17M","8.96%"
"01.04.2024","66.74","65.66","67.25","62.55","312.99M","1.66%"
"01.03.2024","65.65","61.91","65.76","60.96","303.14M","5.72%"
"01.02.2024","62.10","61.19","62.62","59.14","326.76M","1.06%"
"01.01.2024","61.45","63.06","65.02","59.86","367.70M","-2.97%"
"01.12.2023","63.33","62.79","66.70","61.97","295.74M","0.91%"
"01.11.2023","62.76","59.77","63.44","59.19","357.88M","5.14%"
"01.10.2023","59.69","58.59","60.39","54.77","565.03M","1.29%"
"01.09.2023","58.93","63.29","65.61","58.60","335.58M","-6.40%"
"01.08.2023","62.96","66.99","67.34","62.58","307.50M","-6.13%"
"01.07.2023","67.07","65.30","69.15","64.59","265.24M","2.49%"
"01.06.2023","65.44","65.05","67.84","63.97","288.42M","0.79%"
"01.05.2023","64.93","68.82","69.77","63.93","287.38M","-5.87%"
"01.04.2023","68.98","67.44","70.28","66.85","211.99M","1.91%"
"01.03.2023","67.69","64.66","68.01","63.38","394.35M","4.14%"
"01.02.2023","65.00","68.76","70.13","65.00","220.38M","-5.92%"
"01.01.2023","69.09","70.70","72.27","67.84","219.05M","-2.00%"
"01.12.2022","70.50","72.13","73.79","69.03","222.42M","-1.30%"
"01.11.2022","71.43","67.18","71.58","64.76","257.51M","6.96%"
"01.10.2022","66.78","66.58","68.92","60.35","359.95M","1.94%"
"01.09.2022","65.51","74.05","78.22","65.37","330.84M","-11.88%"
"01.08.2022","74.34","73.72","78.05","72.62","214.51M","0.53%"
"01.07.2022","73.95","70.49","74.26","67.85","235.55M","5.45%"
"01.06.2022","70.13","74.60","75.26","64.33","342.84M","-5.65%"
"01.05.2022","74.33","71.60","75.37","69.64","433.57M","4.31%"
"01.04.2022","71.26","74.40","77.23","71.15","414.00M","-4.30%"
"01.03.2022","74.46","67.79","75.14","66.83","422.96M","9.61%"
"01.02.2022","67.93","69.06","69.46","64.28","356.34M","-1.91%"
"01.01.2022","69.25","71.55","71.57","66.19","402.20M","-3.26%"
"01.12.2021","71.58","66.21","71.83","65.85","313.29M","8.83%"
"01.11.2021","65.77","66.89","68.18","65.71","222.63M","-1.70%"
"01.10.2021","66.91","64.27","67.84","63.66","252.63M","4.74%"
"01.09.2021","63.88","68.73","70.07","63.37","276.78M","-6.80%"
"01.08.2021","68.54","66.12","69.98","65.93","253.18M","3.90%"
"01.07.2021","65.97","63.35","67.04","63.10","260.90M","4.33%"
"01.06.2021","63.23","65.31","66.86","62.99","242.63M","-2.96%"
"01.05.2021","65.16","66.87","67.38","64.32","225.77M","-2.34%"
"01.04.2021","66.72","63.94","68.05","63.55","203.20M","4.18%"
"01.03.2021","64.04","59.10","64.45","58.27","333.05M","9.73%"
"01.02.2021","58.36","62.55","63.94","58.34","213.60M","-6.10%"
"01.01.2021","62.15","62.81","64.19","60.61","248.77M","-0.88%"
"01.12.2020","62.70","63.31","64.17","60.32","219.33M","-0.22%"
"01.11.2020","62.84","63.23","67.93","62.59","269.67M","0.74%"
"01.10.2020","62.38","59.53","65.34","59.37","255.44M","5.05%"
"01.09.2020","59.38","59.06","61.04","56.72","286.14M","0.22%"
"01.08.2020","59.25","60.79","61.95","58.46","271.44M","-2.60%"
"01.07.2020","60.83","56.48","61.42","55.90","348.69M","7.80%"
"01.06.2020","56.43","59.67","63.03","54.81","401.01M","-5.46%"
