"תאריך","שער","פתיחה","גבוה","נמוך","נפח","שינוי %"
"02.11.2018","88.68","90.10","90.25","88.10","12.95M","-0.63%"
"01.11.2018","89.24","88.42","89.39","88.39","9.67M","1.26%"
"31.10.2018","88.13","88.71","89.07","88.06","13.46M","0.14%"
"30.10.2018","88.01","87.08","88.15","86.64","15.43M","1.08%"
"29.10.2018","87.07","87.86","88.50","85.85","14.02M","0.25%"
"26.10.2018","86.85","87.03","87.65","85.79","25.51M","-1.14%"
"25.10.2018","87.85","86.72","88.45","85.71","15.73M","1.29%"
"24.10.2018","86.73","89.65","90.16","86.62","17.43M","-3.30%"
"23.10.2018","89.69","89.02","90.12","88.31","15.42M","-0.53%"
"22.10.2018","90.17","90.91","91.08","89.76","8.29M","-0.82%"
"19.10.2018","90.92","91.91","92.23","90.80","11.32M","-0.90%"
"18.10.2018","91.75","92.76","92.77","91.02","14.46M","-1.14%"
"17.10.2018","92.81","92.26","93.03","91.79","14.23M","0.53%"
"16.10.2018","92.32","90.55","92.48","90.54","13.51M","2.74%"
"15.10.2018","89.86","90.33","90.73","89.79","13.91M","-0.69%"
"12.10.2018","90.48","90.18","90.82","89.44","20.80M","1.54%"
"11.10.2018","89.11","91.34","91.54","88.46","46.58M","-2.70%"
"10.10.2018","91.58","93.79","93.90","91.52","22.55M","-2.37%"
"09.10.2018","93.80","93.39","94.13","93.10","7.46M","0.17%"
"08.10.2018","93.64","93.56","93.91","92.86","11.92M","-0.04%"
"05.10.2018","93.68","93.87","94.36","93.09","12.29M","-0.12%"
"04.10.2018","93.79","94.64","94.68","93.31","10.98M","-0.97%"
"03.10.2018","94.71","95.21","95.38","94.56","6.37M","-0.19%"
"02.10.2018","94.89","95.00","95.08","94.71","5.57M","-0.12%"
"01.10.2018","95.00","94.89","95.44","94.72","7.31M","0.50%"
"28.09.2018","94.53","94.06","94.59","94.02","6.00M","0.30%"
"27.09.2018","94.25","93.90","94.51","93.79","7.17M","0.51%"
"26.09.2018","93.77","93.74","94.51","93.57","10.88M","0.22%"
"25.09.2018","93.56","93.98","94.12","93.46","5.22M","-0.31%"
"24.09.2018","93.85","93.60","94.04","93.47","5.39M","0.20%"
"21.09.2018","93.66","93.78","93.87","93.46","8.58M","-0.26%"
"20.09.2018","93.90","93.26","93.96","93.21","5.08M","0.98%"
"19.09.2018","92.99","93.06","93.26","92.90","4.19M","-0.14%"
