Date,SPLV,USMV,XLU,XLP,XLRE,TLT,IEF,SHY,GLD,DBC,VTI,XLK,VXUS
2006-01-31,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2006-02-28,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2006-03-31,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2006-04-30,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2006-05-31,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2006-06-30,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2006-07-31,0.00000000,0.00000000,0.07675136,0.19308427,0.00000000,0.00000000,0.13240845,0.43627112,0.06429930,0.00000000,0.09718551,0.00000000,0.00000000
2006-08-31,0.00000000,0.00000000,0.08783300,0.14457857,0.00000000,0.00000000,0.00000000,0.50347756,0.07056225,0.08348490,0.11006372,0.00000000,0.00000000
2006-09-30,0.00000000,0.00000000,0.10008406,0.12203414,0.00000000,0.09871518,0.15214692,0.46085886,0.06616085,0.00000000,0.00000000,0.00000000,0.00000000
2006-10-31,0.00000000,0.00000000,0.08573100,0.11191119,0.00000000,0.12669708,0.16153401,0.42822391,0.00000000,0.00000000,0.08590281,0.00000000,0.00000000
2006-11-30,0.00000000,0.00000000,0.07926469,0.09240435,0.00000000,0.13741985,0.16349092,0.42837639,0.00000000,0.00000000,0.09904380,0.00000000,0.00000000
2006-12-31,0.00000000,0.00000000,0.08955940,0.00000000,0.00000000,0.09803931,0.13732319,0.46636961,0.00000000,0.00000000,0.13010305,0.07860544,0.00000000
2007-01-31,0.00000000,0.00000000,0.09359283,0.10302068,0.00000000,0.00000000,0.11876399,0.29779730,0.00000000,0.00000000,0.14380655,0.24301864,0.00000000
2007-02-28,0.00000000,0.00000000,0.09230482,0.10736277,0.00000000,0.00000000,0.12098192,0.32973539,0.00000000,0.00000000,0.10594780,0.24366729,0.00000000
2007-03-31,0.00000000,0.00000000,0.09895199,0.10850662,0.00000000,0.00000000,0.00000000,0.34449274,0.09165099,0.00000000,0.10858784,0.24780982,0.00000000
2007-04-30,0.00000000,0.00000000,0.10099625,0.10699779,0.00000000,0.00000000,0.00000000,0.35328276,0.09247324,0.08895076,0.10729921,0.15000000,0.00000000
2007-05-31,0.00000000,0.00000000,0.10087859,0.11712046,0.00000000,0.00000000,0.00000000,0.32747729,0.10268438,0.00000000,0.10654976,0.24528951,0.00000000
2007-06-30,0.00000000,0.00000000,0.09073032,0.10842264,0.00000000,0.00000000,0.00000000,0.34898831,0.10374580,0.00000000,0.10132022,0.24679271,0.00000000
2007-07-31,0.00000000,0.00000000,0.09082742,0.10808142,0.00000000,0.00000000,0.00000000,0.33384980,0.00000000,0.11786430,0.09924185,0.25013521,0.00000000
2007-08-31,0.00000000,0.00000000,0.00000000,0.10534397,0.00000000,0.00000000,0.12682806,0.27651162,0.00000000,0.13574662,0.09873645,0.25683328,0.00000000
2007-09-30,0.00000000,0.00000000,0.00000000,0.10188118,0.00000000,0.11572747,0.13178608,0.29285944,0.00000000,0.00000000,0.09856243,0.25918341,0.00000000
2007-10-31,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.13598245,0.31906951,0.09000422,0.09132048,0.10336758,0.26025575,0.00000000
